 "'AS-IS'" 1 
 "A--a" 1 (L 895, off 1) 
 "porch" 3 (L 314, off 0) (L 1606, off 41) (L 1612, off 12) 
 "probably" 3 (L 1711, off 55) (L 3664, off 20) (L 4060, off 27) 
 "pull" 3 (L 1989, off 19) (L 1996, off 41) (L 4415, off 15) 
 "questioned" 3 (L 2354, off 19) (L 2520, off 10) (L 3791, off 16) 
 "quick" 3 (L 1208, off 29) (L 2661, off 39) (L 4429, off 34) 
 "raced" 3 (L 528, off 32) (L 1356, off 10) (L 3917, off 25) 
 "rain" 3 (L 833, off 29) (L 4186, off 58) (L 4215, off 15) 
 "reading" 3 (L 133, off 11) (L 3628, off 28) (L 4642, off 9) 
 "really" 3 (L 1132, off 20) (L 2504, off 13) (L 3969, off 42) 
 "receive" 3 (L 4615, off 34) (L 4816, off 0) (L 4823, off 0) 
 "remember" 3 (L 2430, off 12) (L 2445, off 13) (L 2451, off 34) 
 "replacement" 3 (L 4773, off 32) (L 4820, off 42) (L 4827, off 40) 
 "reported" 3 (L 588, off 49) (L 755, off 14) (L 4774, off 39) 
 "return" 3 (L 4646, off 54) (L 4767, off 47) (L 4818, off 49) 
 "returned" 3 (L 1684, off 7) (L 3831, off 47) (L 4542, off 61) 
 "rocks" 3 (L 1209, off 33) (L 1940, off 30) (L 4197, off 8) 
 "roll" 3 (L 4105, off 46) (L 4140, off 63) (L 4351, off 30) 
 "rose" 3 (L 364, off 0) (L 726, off 30) (L 1945, off 38) 
 "rules" 3 (L 3657, off 4) (L 4610, off 60) (L 4617, off 0) 
 "safe" 3 (L 944, off 7) (L 2270, off 14) (L 4434, off 17) 
 "says" 3 (L 665, off 15) (L 1025, off 35) (L 1867, off 35) 
 "school" 3 (L 129, off 50) (L 442, off 40) (L 654, off 0) 
 "sent" 3 (L 371, off 62) (L 3521, off 59) (L 4760, off 5) 
 "sentence" 3 (L 4254, off 62) (L 4691, off 22) (L 4727, off 27) 
 "separated" 3 (L 1542, off 24) (L 3748, off 0) (L 4411, off 9) 
 "shall" 3 (L 2892, off 50) (L 4835, off 61) (L 4838, off 28) 
 "share" 3 (L 1914, off 53) (L 2290, off 63) (L 4677, off 30) 
 "shoot" 3 (L 180, off 33) (L 1250, off 0) (L 1254, off 59) 
 "shouting" 3 (L 1134, off 35) (L 1171, off 39) (L 3392, off 27) 
 "signal" 3 (L 3636, off 34) (L 3646, off 38) (L 3723, off 46) 
 "signs" 3 (L 854, off 35) (L 3298, off 56) (L 3389, off 30) 
 "slacks" 3 (L 3465, off 60) (L 3482, off 18) (L 3486, off 53) 
 "slipped" 3 (L 150, off 41) (L 1972, off 22) (L 4494, off 14) 
 "slower" 3 (L 3715, off 21) (L 4108, off 9) (L 4121, off 40) 
 "sneaked" 3 (L 3428, off 0) (L 3469, off 13) (L 3481, off 31) 
 "sound" 3 (L 3017, off 50) (L 3470, off 8) (L 3761, off 29) 
 "sprang" 3 (L 36, off 35) (L 545, off 56) (L 562, off 35) 
 "stars" 3 (L 2053, off 0) (L 4029, off 57) (L 4035, off 37) 
 "stoop" 3 (L 690, off 40) (L 2876, off 24) (L 3614, off 29) 
 "straight" 3 (L 546, off 25) (L 3962, off 50) (L 4118, off 23) 
 "stray" 3 (L 1440, off 27) (L 1615, off 7) (L 1807, off 20) 
 "summer" 3 (L 654, off 31) (L 669, off 39) (L 1865, off 59) 
 "supper" 3 (L 1637, off 55) (L 4191, off 0) (L 4214, off 6) 
 "supplies" 3 (L 2648, off 40) (L 3900, off 38) (L 3907, off 61) 
 "surprise" 3 (L 1356, off 0) (L 2035, off 0) (L 2416, off 13) 
 "thin" 3 (L 1850, off 7) (L 2375, off 22) (L 3301, off 64) 
 "thirsty" 3 (L 1903, off 22) (L 1926, off 26) (L 2981, off 16) 
 "tied" 3 (L 2887, off 37) (L 2900, off 5) (L 3364, off 26) 
 "tonight" 3 (L 2587, off 48) (L 2681, off 43) (L 4141, off 30) 
 "top" 3 (L 814, off 35) (L 839, off 7) (L 1172, off 40) 
 "tree-toad" 3 (L 3630, off 20) (L 3636, off 24) (L 3659, off 50) 
 "trip" 3 (L 659, off 23) (L 3398, off 61) (L 3408, off 42) 
 "turns" 3 (L 1942, off 44) (L 3658, off 14) (L 4235, off 30) 
 "type" 3 (L 128, off 4) (L 129, off 38) (L 4565, off 55) 
 "understood" 3 (L 1485, off 21) (L 1762, off 13) (L 3466, off 55) 
 "user" 3 (L 4737, off 55) (L 4764, off 51) (L 4767, off 39) 
 "usual" 3 (L 698, off 4) (L 1797, off 16) (L 4342, off 0) 
 "valuable" 3 (L 2537, off 0) (L 2668, off 57) (L 4479, off 34) 
 "view" 3 (L 3115, off 10) (L 3116, off 37) (L 3450, off 30) 
 "watched" 3 (L 690, off 8) (L 2845, off 41) (L 2955, off 58) 
 "wear" 3 (L 2049, off 20) (L 2050, off 53) (L 2060, off 23) 
 "web" 3 (L 4736, off 44) (L 4868, off 19) (L 4888, off 45) 
 "whether" 3 (L 571, off 51) (L 2242, off 14) (L 4298, off 51) 
 "whistle" 3 (L 3130, off 18) (L 3659, off 60) (L 3668, off 49) 
 "whoever" 3 (L 1025, off 45) (L 2000, off 47) (L 3412, off 38) 
 "whole" 3 (L 654, off 25) (L 1815, off 59) (L 3213, off 33) 
 "wife" 3 (L 3958, off 36) (L 4011, off 50) (L 4032, off 64) 
 "word" 3 (L 1025, off 62) (L 1962, off 57) (L 4733, off 0) 
 "worked" 3 (L 2908, off 4) (L 3592, off 5) (L 3717, off 21) 
 "writing" 3 (L 4765, off 12) (L 4782, off 55) (L 4824, off 46) 
 "written" 3 (L 4817, off 0) (L 4819, off 5) (L 4913, off 27) 
 "years" 3 (L 2310, off 56) (L 2395, off 64) (L 4937, off 25) 
 "Buttermilk" 4 (L 2114, off 19) (L 2125, off 18) (L 2215, off 49) (L 2331, off 52) 
 "Denton" 4 (L 245, off 23) (L 274, off 0) (L 729, off 26) (L 979, off 49) 
 "Didn" 4 (L 1374, off 1) (L 1803, off 11) (L 2341, off 1) (L 3486, off 5) 
 "Don" 4 (L 674, off 1) (L 1992, off 1) (L 2448, off 1) (L 2564, off 1) 
 "Falls" 4 (L 2114, off 30) (L 2125, off 29) (L 2215, off 60) (L 2331, off 63) 
 "Garis" 4 (L 2, off 13) (L 12, off 21) (L 66, off 15) (L 4592, off 13) 
 "Golly" 4 (L 273, off 1) (L 3693, off 36) (L 4269, off 1) (L 4402, off 1) 
 "Has" 4 (L 752, off 20) (L 2240, off 7) (L 4009, off 1) (L 4041, off 1) 
 "Help" 4 (L 713, off 1) (L 713, off 7) (L 911, off 1) (L 911, off 7) 
 "His" 4 (L 377, off 16) (L 1376, off 1) (L 1652, off 64) (L 3956, off 68) 
 "Howard" 4 (L 2, off 0) (L 12, off 8) (L 66, off 5) (L 4592, off 0) 
 "Like" 4 (L 602, off 1) (L 604, off 1) (L 1728, off 19) (L 2765, off 1) 
 "Most" 4 (L 248, off 43) (L 1236, off 1) (L 2675, off 53) (L 4947, off 0) 
 "NIGHT" 4 (L 118, off 12) (L 119, off 12) (L 3827, off 0) (L 4132, off 0) 
 "PROJECT" 4 (L 20, off 18) (L 4594, off 16) (L 4613, off 12) (L 4628, off 9) 
 "Pasqualla" 4 (L 3255, off 0) (L 3279, off 43) (L 3332, off 0) (L 3359, off 29) 
 "Perhaps" 4 (L 2087, off 0) (L 3906, off 0) (L 3938, off 47) (L 4442, off 5) 
 "See" 4 (L 38, off 32) (L 703, off 54) (L 4657, off 63) (L 4661, off 8) 
 "Sorry" 4 (L 298, off 34) (L 318, off 16) (L 2419, off 1) (L 4536, off 41) 
 "Suddenly" 4 (L 530, off 0) (L 1949, off 17) (L 3208, off 0) (L 4388, off 0) 
 "West" 4 (L 2074, off 0) (L 2572, off 52) (L 2966, off 9) (L 4886, off 15) 
 "adventures" 4 (L 430, off 28) (L 2297, off 26) (L 2348, off 44) (L 2350, off 57) 
 "afore" 4 (L 2360, off 4) (L 2363, off 11) (L 2419, off 45) (L 2435, off 50) 
 "ago" 4 (L 981, off 13) (L 1052, off 61) (L 4012, off 7) (L 4024, off 34) 
 "air" 4 (L 255, off 9) (L 353, off 47) (L 1950, off 39) (L 4205, off 49) 
 "anybody" 4 (L 1805, off 25) (L 1836, off 58) (L 2242, off 29) (L 3751, off 13) 
 "applicable" 4 (L 4566, off 33) (L 4753, off 39) (L 4835, off 17) (L 4837, off 4) 
 "assented" 4 (L 688, off 11) (L 1540, off 28) (L 2220, off 11) (L 3321, off 13) 
 "barn" 4 (L 3170, off 45) (L 3171, off 18) (L 3172, off 4) (L 3179, off 34) 
 "bell" 4 (L 1552, off 58) (L 2846, off 13) (L 2847, off 47) (L 2975, off 60) 
 "belongs" 4 (L 2193, off 52) (L 2676, off 0) (L 4472, off 4) (L 4510, off 26) 
 "below" 4 (L 947, off 17) (L 4658, off 14) (L 4661, off 26) (L 4785, off 37) 
 "beside" 4 (L 3752, off 6) (L 3921, off 0) (L 4075, off 9) (L 4136, off 25) 
 "beyond" 4 (L 478, off 18) (L 492, off 0) (L 1300, off 35) (L 4319, off 9) 
 "book" 4 (L 128, off 23) (L 433, off 10) (L 3632, off 18) (L 4566, off 13) 
 "brother" 4 (L 724, off 19) (L 865, off 41) (L 1427, off 28) (L 1478, off 60) 
 "call" 4 (L 674, off 11) (L 675, off 48) (L 943, off 8) (L 4340, off 62) 
 "camping" 4 (L 3973, off 5) (L 4108, off 35) (L 4184, off 41) (L 4299, off 64) 
 "cannot" 4 (L 4797, off 49) (L 4900, off 38) (L 4917, off 9) (L 4922, off 56) 
 "care" 4 (L 271, off 17) (L 491, off 56) (L 728, off 9) (L 770, off 24) 
 "carry" 4 (L 645, off 64) (L 4094, off 34) (L 4379, off 16) (L 4901, off 39) 
 "changed" 4 
 "chasing" 4 (L 925, off 23) (L 1311, off 11) (L 1492, off 12) (L 4316, off 6) 
 "climb" 4 (L 489, off 0) (L 3833, off 15) (L 3850, off 26) (L 3853, off 65) 
 "collection" 4 (L 4664, off 47) (L 4666, off 0) (L 4792, off 0) (L 4862, off 49) 
 "commented" 4 (L 510, off 30) (L 672, off 19) (L 686, off 44) (L 1705, off 47) 
 "compliance" 4 (L 4673, off 45) (L 4913, off 51) (L 4914, off 42) (L 4944, off 15) 
 "contact" 4 (L 3831, off 14) (L 4887, off 27) (L 4887, off 56) (L 4891, off 15) 
 "cool" 4 (L 4065, off 34) (L 4265, off 23) (L 4584, off 23) (L 4585, off 23) 
 "copying" 4 (L 4612, off 0) (L 4669, off 0) (L 4683, off 20) (L 4744, off 12) 
 "cry" 4 (L 558, off 51) (L 1108, off 11) (L 2034, off 63) (L 3237, off 42) 
 "cut" 4 (L 3161, off 65) (L 3511, off 10) (L 3868, off 7) (L 4038, off 35) 
 "damages" 4 (L 1570, off 40) (L 1658, off 29) (L 4805, off 21) (L 4833, off 62) 
 "dampness" 4 (L 4217, off 4) (L 4265, off 28) (L 4584, off 29) (L 4585, off 28) 
 "danger" 4 (L 3113, off 13) (L 3379, off 14) (L 4222, off 37) (L 4445, off 35) 
 "darkness" 4 (L 520, off 42) (L 563, off 42) (L 3698, off 36) (L 3746, off 22) 
 "displaying" 4 (L 4669, off 35) (L 4683, off 29) (L 4727, off 12) (L 4743, off 52) 
 "distributed" 4 (L 4696, off 10) (L 4706, off 4) (L 4903, off 7) (L 4937, off 48) 
 "donate" 4 (L 4755, off 19) (L 4920, off 27) (L 4929, off 3) (L 4929, off 42) 
 "ears" 4 (L 545, off 29) (L 710, off 38) (L 3245, off 50) (L 3876, off 39) 
 "easier" 4 (L 1479, off 40) (L 2566, off 22) (L 3853, off 55) (L 4239, off 29) 
 "editions" 4 (L 4604, off 8) (L 4604, off 56) (L 4607, off 44) (L 4942, off 0) 
 "efforts" 4 (L 3106, off 36) (L 4792, off 27) (L 4857, off 15) (L 4867, off 13) 
 "extra" 4 (L 1326, off 26) (L 1327, off 19) (L 2648, off 8) (L 3208, off 22) 
 "falling" 4 (L 1952, off 0) (L 2246, off 61) (L 2298, off 61) (L 3075, off 53) 
 "farm" 4 (L 1202, off 3) (L 1653, off 33) (L 1749, off 45) (L 3999, off 51) 
 "fees" 4 (L 4706, off 66) (L 4806, off 0) (L 4845, off 65) (L 4911, off 45) 
 "finally" 4 (L 1826, off 0) (L 2797, off 49) (L 3200, off 4) (L 3361, off 0) 
 "fine" 4 (L 668, off 20) (L 803, off 44) (L 961, off 24) (L 3181, off 30) 
 "firmly" 4 (L 3306, off 24) (L 3501, off 41) (L 3672, off 8) (L 4178, off 44) 
 "five" 4 (L 811, off 8) (L 849, off 55) (L 1331, off 54) (L 1486, off 61) 
 "fix" 4 (L 220, off 7) (L 289, off 0) (L 3900, off 63) (L 4825, off 17) 
 "forget" 4 (L 1836, off 51) (L 3987, off 11) (L 3996, off 11) (L 3998, off 43) 
 "form" 4 (L 4732, off 53) (L 4733, off 29) (L 4740, off 0) (L 4903, off 39) 
 "format" 4 (L 4676, off 30) (L 4734, off 54) (L 4735, off 31) (L 4740, off 21) 
 "freely" 4 (L 4673, off 0) (L 4863, off 7) (L 4903, off 0) (L 4936, off 55) 
 "funny" 4 (L 1007, off 10) (L 1105, off 65) (L 2360, off 28) (L 3349, off 19) 
 "gravel" 4 (L 3629, off 18) (L 3633, off 49) (L 3659, off 11) (L 3668, off 31) 
 "hand" 4 (L 442, off 54) (L 2517, off 20) (L 2887, off 19) (L 2965, off 17) 
 "heavy" 4 (L 1078, off 7) (L 2586, off 46) (L 3041, off 21) (L 3175, off 37) 
 "helped" 4 (L 2453, off 23) (L 2817, off 20) (L 2844, off 20) (L 3929, off 38) 
 "herd" 4 (L 1705, off 14) (L 4394, off 32) (L 4397, off 20) (L 4408, off 40) 
 "hired" 4 (L 1446, off 0) (L 1865, off 23) (L 1866, off 25) (L 4487, off 34) 
 "hold" 4 (L 1980, off 57) (L 2886, off 61) (L 4200, off 55) (L 4840, off 47) 
 "holder" 4 (L 4705, off 40) (L 4715, off 37) (L 4717, off 31) (L 4719, off 28) 
 "hoof" 4 (L 1078, off 18) (L 1730, off 22) (L 1733, off 28) (L 1900, off 31) 
 "individual" 4 (L 4665, off 47) (L 4667, off 0) (L 4703, off 14) (L 4714, off 14) 
 "information" 4 (L 1234, off 8) (L 4888, off 0) (L 4891, off 23) (L 4951, off 23) 
 "interrupted" 4 (L 1114, off 26) (L 1134, off 7) (L 3764, off 17) (L 4167, off 36) 
 "job" 4 (L 4481, off 3) (L 4496, off 34) (L 4511, off 38) (L 4518, off 0) 
 "jumping" 4 (L 1077, off 58) (L 1087, off 10) (L 1216, off 5) (L 2956, off 16) 
 "known" 4 (L 359, off 14) (L 2293, off 42) (L 2306, off 65) (L 3665, off 26) 
 "leaping" 4 (L 674, off 26) (L 3021, off 37) (L 3360, off 29) (L 4408, off 21) 
 "leaving" 4 (L 402, off 13) (L 3656, off 0) (L 4385, off 44) (L 4411, off 50) 
 "lived" 4 (L 438, off 20) (L 1750, off 4) (L 1824, off 32) (L 2005, off 44) 
 "located" 4 (L 4668, off 0) (L 4679, off 52) (L 4883, off 37) (L 4885, off 55) 
 "longer" 4 (L 194, off 48) (L 1291, off 47) (L 2396, off 19) (L 4445, off 26) 
 "lose" 4 (L 2075, off 9) (L 2790, off 48) (L 4480, off 67) (L 4511, off 30) 
 "lovely" 4 (L 782, off 12) (L 2136, off 14) (L 2220, off 41) (L 2260, off 15) 
 "makes" 4 (L 1909, off 0) (L 2713, off 55) (L 2759, off 10) (L 4685, off 35) 
 "managed" 4 (L 1971, off 23) (L 2797, off 57) (L 3938, off 3) (L 4325, off 0) 
 "marked" 4 (L 498, off 20) (L 2403, off 57) (L 4732, off 12) (L 4759, off 50) 
 "meeting" 4 (L 674, off 16) (L 1451, off 18) (L 3008, off 9) (L 3667, off 49) 
 "men" 4 (L 1702, off 30) (L 1865, off 29) (L 1866, off 31) (L 2049, off 11) 
 "met" 4 (L 1411, off 48) (L 1448, off 59) (L 3473, off 60) (L 4918, off 9) 
 "motion" 4 (L 511, off 24) (L 839, off 46) (L 844, off 47) (L 4180, off 12) 
 "mysteries" 4 (L 1073, off 60) (L 1402, off 6) (L 4524, off 17) 
 "noises" 4 (L 3130, off 35) (L 3131, off 64) (L 3137, off 14) (L 3144, off 42) 
 "nor" 4 (L 2336, off 24) (L 3448, off 16) (L 3875, off 42) (L 3964, off 10) 
 "notice" 4 (L 1357, off 64) (L 4056, off 10) (L 4704, off 43) (L 4943, off 19) 
 "noticed" 4 (L 1453, off 30) (L 1785, off 0) (L 2270, off 29) (L 4379, off 38) 
 "office" 4 (L 1558, off 28) (L 2812, off 37) (L 4883, off 27) (L 4885, off 45) 
 "online" 4 (L 7, off 19) (L 4635, off 50) (L 4701, off 19) (L 4928, off 23) 
 "opinion" 4 (L 234, off 24) (L 1857, off 64) (L 2722, off 29) (L 4232, off 55) 
 "order" 4 (L 237, off 44) (L 1126, off 25) (L 1148, off 24) (L 3907, off 55) 
 "outfit" 4 (L 4184, off 49) (L 4188, off 39) (L 4373, off 6) (L 4494, off 56) 
 "outside" 4 (L 4490, off 6) (L 4681, off 40) (L 4686, off 48) (L 4924, off 0) 
 "paddock" 4 (L 649, off 45) (L 4477, off 53) (L 4480, off 4) (L 4535, off 20) 
 "pair" 4 (L 2359, off 16) (L 2369, off 23) (L 2439, off 37) (L 2440, off 19) 
 "people" 4 (L 2115, off 14) (L 4654, off 60) (L 4858, off 0) (L 4947, off 5) 
 "person" 4 (L 4650, off 58) (L 4817, off 27) (L 4819, off 31) (L 4821, off 54) 
 "phrase" 4 (L 4633, off 50) (L 4694, off 0) (L 4694, off 54) (L 4708, off 9) 
 "plain" 4 (L 477, off 11) (L 3762, off 12) (L 3809, off 30) (L 4050, off 31) 
 "pony" 4 (L 436, off 38) (L 1401, off 13) (L 1552, off 39) (L 2692, off 46) 
 "promise" 4 (L 2608, off 57) (L 2714, off 6) (L 2715, off 22) (L 2868, off 11) 
 "provided" 4 (L 2126, off 54) (L 4748, off 64) (L 4819, off 53) (L 4828, off 33) 
 "providing" 4 (L 4707, off 42) (L 4747, off 57) (L 4822, off 0) (L 4842, off 0) 
 "quickly" 4 (L 559, off 16) (L 1485, off 13) (L 2323, off 53) (L 4167, off 48) 
 "quietly" 4 (L 3469, off 27) (L 3547, off 16) (L 3658, off 26) (L 3754, off 38) 
 "races" 4 (L 207, off 10) (L 275, off 40) (L 446, off 61) (L 3929, off 14) 
 "railroad" 4 (L 1279, off 0) (L 1280, off 41) (L 1440, off 51) (L 2812, off 20) 
 "ravine" 4 (L 479, off 43) (L 482, off 50) (L 507, off 64) (L 528, off 4) 
 "real" 4 (L 266, off 43) (L 2569, off 30) (L 2572, off 30) (L 3858, off 48) 
 "requirements" 4 (L 4709, off 38) (L 4910, off 20) (L 4912, off 11) (L 4918, off 30) 
 "road" 4 (L 1285, off 67) (L 1333, off 51) (L 2926, off 21) (L 3219, off 58) 
 "salt" 4 (L 2776, off 48) (L 2806, off 59) (L 2807, off 47) (L 2900, off 0) 
 "sandwiches" 4 (L 2220, off 56) (L 2223, off 17) (L 2260, off 0) (L 2294, off 10) 
 "scouting" 4 (L 486, off 25) (L 2034, off 25) (L 3623, off 57) (L 3861, off 46) 
 "second" 4 (L 612, off 19) (L 1254, off 12) (L 4822, off 45) (L 4823, off 61) 
 "seconds" 4 (L 1170, off 24) (L 1962, off 20) (L 3727, off 15) (L 4298, off 10) 
 "secret" 4 (L 2191, off 18) (L 2631, off 43) (L 3642, off 55) (L 3646, off 31) 
 "seeing" 4 (L 1232, off 23) (L 1294, off 38) (L 3298, off 46) (L 3875, off 35) 
 "seem" 4 (L 802, off 9) (L 843, off 20) (L 1111, off 9) (L 3145, off 22) 
 "send" 4 (L 260, off 4) (L 2369, off 63) (L 2370, off 36) (L 2553, off 36) 
 "site" 4 (L 4736, off 48) (L 4888, off 49) (L 4947, off 29) (L 4951, off 9) 
 "smiled" 4 (L 1475, off 40) (L 1633, off 11) (L 3374, off 33) (L 4449, off 49) 
 "sold" 4 (L 2359, off 62) (L 2364, off 50) (L 2430, off 28) (L 2439, off 28) 
 "solved" 4 (L 642, off 39) (L 1409, off 28) (L 2594, off 8) (L 4524, off 35) 
 "sounds" 4 (L 2555, off 4) (L 3038, off 27) (L 3040, off 11) (L 3041, off 0) 
 "spend" 4 (L 654, off 15) (L 4156, off 56) (L 4214, off 36) (L 4516, off 49) 
 "starting" 4 (L 428, off 20) (L 884, off 60) (L 2350, off 35) (L 3789, off 29) 
 "states" 4 (L 4832, off 13) (L 4909, off 45) (L 4917, off 54) (L 4919, off 60) 
 "status" 4 (L 4686, off 14) (L 4876, off 44) (L 4906, off 0) (L 4914, off 32) 
 "step" 4 (L 262, off 8) (L 3580, off 18) (L 3939, off 22) (L 4039, off 21) 
 "stones" 4 (L 1173, off 24) (L 1208, off 13) (L 1209, off 5) (L 1256, off 23) 
 "stretched" 4 (L 193, off 16) (L 961, off 48) (L 2012, off 58) (L 4369, off 0) 
 "support" 4 (L 4671, off 47) (L 4860, off 25) (L 4901, off 14) (L 4938, off 59) 
 "test" 4 (L 166, off 51) (L 230, off 2) (L 2875, off 0) (L 2942, off 54) 
 "thick" 4 (L 424, off 14) (L 2117, off 38) (L 2215, off 4) (L 2455, off 61) 
 "tomatoes" 4 (L 3421, off 23) (L 3475, off 0) (L 3511, off 55) (L 3540, off 18) 
 "tossed" 4 (L 254, off 65) (L 1100, off 0) (L 2001, off 26) (L 3672, off 30) 
 "trouble" 4 (L 1675, off 17) (L 3845, off 0) (L 4081, off 0) (L 4467, off 5) 
 "using" 4 (L 4632, off 37) (L 4642, off 20) (L 4646, off 44) (L 4752, off 54) 
 "waiting" 4 (L 1927, off 36) (L 2469, off 62) (L 2810, off 54) (L 3674, off 9) 
 "watch" 4 (L 724, off 49) (L 754, off 31) (L 4219, off 22) (L 4361, off 43) 
 "weren" 4 (L 599, off 27) (L 992, off 10) (L 3134, off 49) (L 3736, off 57) 
 "whispered" 4 (L 895, off 36) (L 2380, off 56) (L 2475, off 31) (L 2639, off 34) 
 "wondering" 4 (L 1287, off 10) (L 1948, off 62) (L 2921, off 7) (L 4170, off 22) 
 "words" 4 (L 131, off 48) (L 1337, off 33) (L 1476, off 36) (L 1761, off 21) 
 "wrong" 4 (L 195, off 43) (L 286, off 42) (L 3551, off 17) (L 3877, off 14) 
 "young" 4 (L 434, off 4) (L 558, off 60) (L 2115, off 8) (L 2363, off 46) 
 "Because" 5 (L 385, off 1) (L 578, off 1) (L 1420, off 1) (L 1996, off 1) (L 2661, off 1) 
 "Boy" 5 (L 2005, off 25) (L 2032, off 46) (L 2482, off 29) (L 3267, off 31) (L 4205, off 1) 
 "Good" 5 (L 242, off 1) (L 686, off 1) (L 1560, off 1) (L 2805, off 1) (L 4432, off 1) 
 "Gosh" 5 (L 1073, off 38) (L 1082, off 1) (L 3454, off 10) (L 3702, off 1) (L 4315, off 35) 
 "Have" 5 (L 1895, off 1) (L 1906, off 1) (L 2357, off 1) (L 2652, off 1) (L 3051, off 1) 
 "Information" 5 (L 4761, off 38) (L 4852, off 13) (L 4871, off 12) (L 4897, off 12) (L 4932, off 20) 
 "Land" 5 (L 1190, off 8) (L 1722, off 16) (L 2488, off 57) (L 4004, off 1) (L 4052, off 1) 
 "Never" 5 (L 1767, off 1) (L 2288, off 59) (L 2564, off 45) (L 3714, off 61) (L 4392, off 33) 
 "Once" 5 (L 1550, off 0) (L 3390, off 25) (L 3391, off 60) (L 3398, off 0) (L 3699, off 10) 
 "One" 5 (L 223, off 17) (L 302, off 1) (L 695, off 1) (L 3366, off 1) (L 4524, off 1) 
 "Page" 5 (L 38, off 36) (L 4571, off 4) (L 4575, off 4) (L 4579, off 4) (L 4583, off 4) 
 "Some" 5 (L 266, off 1) (L 1515, off 42) (L 2163, off 0) (L 4011, off 1) (L 4832, off 8) 
 "THIS" 5 (L 20, off 13) (L 4594, off 11) (L 4629, off 12) (L 4629, off 46) (L 4809, off 43) 
 "With" 5 (L 2428, off 1) (L 2610, off 9) (L 3838, off 15) (L 3880, off 53) (L 4429, off 27) 
 "Your" 5 (L 213, off 30) (L 844, off 42) (L 1318, off 1) (L 4371, off 55) (L 4415, off 1) 
 "acted" 5 (L 1098, off 0) (L 1928, off 37) (L 2099, off 58) (L 2674, off 33) (L 3690, off 41) 
 "admit" 5 (L 369, off 63) (L 803, off 6) (L 1093, off 0) (L 3140, off 35) (L 3158, off 30) 
 "afternoon" 5 (L 2348, off 32) (L 3424, off 14) (L 3623, off 47) (L 3861, off 9) (L 4114, off 34) 
 "airplane" 5 (L 146, off 0) (L 444, off 0) (L 571, off 16) (L 597, off 13) (L 632, off 28) 
 "alone" 5 (L 2024, off 46) (L 3037, off 21) (L 3754, off 16) (L 3803, off 35) (L 4924, off 38) 
 "both" 5 (L 796, off 8) (L 922, off 58) (L 1401, off 47) (L 4716, off 17) (L 4783, off 0) 
 "bought" 5 (L 1899, off 14) (L 2053, off 26) (L 2096, off 65) (L 2364, off 4) (L 2782, off 54) 
 "breakfast" 5 (L 1533, off 46) (L 1556, off 13) (L 1583, off 17) (L 4209, off 26) (L 4378, off 0) 
 "business" 5 (L 659, off 14) (L 1126, off 34) (L 4312, off 39) (L 4885, off 36) (L 4887, off 0) 
 "carried" 5 (L 408, off 7) (L 1291, off 0) (L 3903, off 64) (L 4108, off 54) (L 4182, off 8) 
 "carrying" 5 (L 293, off 56) (L 398, off 0) (L 710, off 0) (L 908, off 4) (L 921, off 33) 
 "case" 5 (L 806, off 5) (L 839, off 23) (L 1024, off 44) (L 4186, off 50) (L 4382, off 20) 
 "catching" 5 (L 2565, off 4) (L 2565, off 62) (L 2571, off 62) (L 3080, off 24) (L 3372, off 0) 
 "caused" 5 (L 750, off 20) (L 1553, off 61) (L 1702, off 65) (L 3392, off 0) (L 3957, off 45) 
 "certain" 5 (L 435, off 19) (L 1065, off 63) (L 2180, off 56) (L 4832, off 48) (L 4833, off 45) 
 "clue" 5 (L 2055, off 16) (L 2383, off 44) (L 2476, off 42) (L 2478, off 3) (L 2494, off 18) 
 "cold" 5 (L 1943, off 0) (L 2131, off 43) (L 4215, off 35) (L 4261, off 42) (L 4319, off 20) 
 "corn" 5 (L 1153, off 44) (L 1161, off 39) (L 1658, off 61) (L 1709, off 51) (L 2823, off 44) 
 "country" 5 (L 440, off 30) (L 660, off 4) (L 1268, off 27) (L 4682, off 17) (L 4686, off 40) 
 "cracks" 5 (L 3060, off 23) (L 3084, off 55) (L 3115, off 39) (L 3292, off 39) (L 3296, off 7) 
 "craft" 5 (L 177, off 14) (L 182, off 26) (L 210, off 0) (L 259, off 0) (L 367, off 14) 
 "crops" 5 (L 832, off 36) (L 834, off 0) (L 843, off 4) (L 1166, off 0) (L 1243, off 63) 
 "distribute" 5 (L 4609, off 24) (L 4725, off 39) (L 4731, off 31) (L 4734, off 0) (L 4780, off 39) 
 "drive" 5 (L 1165, off 32) (L 1811, off 0) (L 1811, off 9) (L 3350, off 3) (L 4300, off 54) 
 "during" 5 (L 1550, off 5) (L 1663, off 14) (L 4144, off 62) (L 4150, off 60) (L 4235, off 45) 
 "echoed" 5 (L 3245, off 36) (L 3504, off 8) (L 3589, off 8) (L 4230, off 13) (L 4402, off 38) 
 "escape" 5 (L 2307, off 3) (L 3106, off 47) (L 3232, off 4) (L 3263, off 16) (L 3519, off 41) 
 "exactly" 5 (L 1105, off 29) (L 2368, off 25) (L 2485, off 5) (L 4013, off 7) 
 "excitement" 5 (L 309, off 12) (L 2263, off 20) (L 2608, off 27) (L 3392, off 13) (L 3775, off 7) 
 "fall" 5 (L 524, off 24) (L 1972, off 66) (L 2325, off 26) (L 2759, off 33) (L 2888, off 27) 
