 "'AS-IS'" 1 
 "--bootlegging" 1 (L 378, off 50) 
 "definitely" 1 (L 1170, off 28) 
 "deftly" 1 (L 1042, off 52) 
 "dejectedly" 1 (L 1183, off 0) 
 "delay" 1 (L 480, off 54) 
 "deletions" 1 (L 1664, off 13) 
 "deliberately" 1 (L 58, off 3) 
 "deliberation" 1 (L 1125, off 11) 
 "delinquency" 1 (L 376, off 55) 
 "demand" 1 (L 1638, off 43) 
 "demanded" 1 (L 730, off 28) 
 "denies" 1 (L 352, off 35) 
 "dentures" 1 (L 905, off 56) 
 "depart" 1 (L 1331, off 19) 
 "depositions" 1 (L 495, off 0) 
 "derive" 1 (L 1565, off 56) 
 "derived" 1 (L 1517, off 0) 
 "describe" 1 (L 1255, off 19) 
 "description" 1 (L 837, off 29) 
 "deserve" 1 (L 1270, off 26) 
 "desire" 1 (L 642, off 40) 
 "despair--and" 1 (L 1088, off 28) 
 "destined" 1 (L 1045, off 18) 
 "detach" 1 (L 1535, off 24) 
 "detail" 1 (L 1297, off 33) 
 "details" 1 (L 829, off 0) 
 "determination" 1 (L 1320, off 14) 
 "determine" 1 (L 1726, off 13) 
 "determined" 1 (L 1059, off 20) 
 "developed" 1 (L 382, off 11) 
 "developing" 1 (L 1064, off 23) 
 "did--to" 1 (L 1296, off 12) 
 "difference" 1 (L 843, off 0) 
 "differing" 1 (L 993, off 46) 
 "difficult" 1 (L 1190, off 29) 
 "digest" 1 (L 1087, off 41) 
 "dignity" 1 (L 1330, off 9) 
 "dilantin" 1 (L 1106, off 53) 
 "dimension" 1 (L 1351, off 24) 
 "directly" 1 (L 1661, off 33) 
 "disappointed" 1 (L 460, off 0) 
 "disappointedly" 1 (L 692, off 0) 
 "disclaim" 1 (L 1618, off 51) 
 "disclaimers" 1 (L 1646, off 32) 
 "disclosed" 1 (L 381, off 48) 
 "disconcerting" 1 (L 74, off 0) 
 "discontinue" 1 (L 1582, off 57) 
 "discover" 1 (L 1628, off 55) 
 "discovered" 1 (L 1588, off 21) 
 "disgustedly" 1 (L 443, off 21) 
 "disheveled" 1 (L 578, off 26) 
 "disk" 1 (L 1610, off 59) 
 "dispassionate" 1 (L 1334, off 13) 
 "displayed" 1 (L 1505, off 55) 
 "disregarding" 1 (L 1279, off 22) 
 "dissimilarities" 1 (L 849, off 56) 
 "distance" 1 (L 154, off 38) 
 "distortion" 1 (L 375, off 27) 
 "diverse" 1 (L 826, off 56) 
 "dizzy" 1 (L 370, off 11) 
 "doctor's" 1 (L 1004, off 4) 
 "doggedly" 1 (L 1087, off 20) 
 "doll" 1 (L 128, off 59) 
 "dome" 1 (L 821, off 65) 
 "donation" 1 (L 1738, off 57) 
 "done" 1 (L 1394, off 0) 
 "donors" 1 (L 1731, off 45) 
 "door" 1 (L 523, off 4) 
 "doors" 1 (L 459, off 16) 
 "dope" 1 (L 377, off 41) 
 "dorsal" 1 (L 1157, off 31) 
 "double" 1 (L 340, off 45) 
 "downloading" 1 (L 1493, off 17) 
 "dozen" 1 (L 177, off 57) 
 "dramatist's" 1 (L 576, off 0) 
 "drawn" 1 (L 1084, off 14) 
 "dreaming" 1 (L 119, off 0) 
 "drew" 1 (L 1024, off 14) 
 "dried" 1 (L 110, off 58) 
 "drifted" 1 (L 521, off 27) 
 "drill" 1 (L 748, off 44) 
 "drily" 1 (L 141, off 28) 
 "drip" 1 (L 571, off 20) 
 "drive" 1 (L 1382, off 8) 
 "driving" 1 (L 336, off 15) 
 "drops" 1 (L 1149, off 0) 
 "drove" 1 (L 558, off 29) 
 "duct" 1 (L 905, off 14) 
 "during" 1 (L 841, off 47) 
 "dwelling" 1 (L 1360, off 30) 
 "dying" 1 (L 145, off 63) 
 "e-mail" 1 (L 1579, off 24) 
 "earthbound" 1 (L 1038, off 34) 
 "easing" 1 (L 398, off 28) 
 "east" 1 (L 496, off 4) 
 "eastern" 1 (L 840, off 60) 
 "easy" 1 (L 1428, off 40) 
 "eating" 1 (L 497, off 40) 
 "ebullient" 1 (L 503, off 58) 
 "edition" 1 (L 1755, off 0) 
 "educational" 1 (L 1688, off 10) 
 "educators" 1 (L 1031, off 10) 
 "efficient" 1 (L 615, off 47) 
 "elaborate" 1 (L 640, off 5) 
 "elbow" 1 (L 909, off 19) 
 "elect" 1 (L 1634, off 28) 
 "electrocardiagram" 1 (L 852, off 37) 
 "electrodes" 1 (L 1156, off 57) 
 "electroencephalograph" 1 (L 1108, off 0) 
 "electroshock" 1 (L 1107, off 0) 
 "element" 1 (L 1233, off 36) 
 "elementary" 1 (L 924, off 59) 
 "eloquence" 1 (L 73, off 21) 
 "else" 1 (L 236, off 6) 
 "email" 1 (L 1763, off 17) 
 "emergent" 1 (L 1068, off 44) 
 "emphasis" 1 (L 937, off 30) 
 "empiricists" 1 (L 1057, off 7) 
 "employed" 1 (L 847, off 43) 
 "employee" 1 (L 1656, off 30) 
 "end" 1 (L 363, off 59) 
 "endless" 1 (L 558, off 52) 
 "energized" 1 (L 1261, off 7) 
 "energy" 1 (L 995, off 59) 
 "engage" 1 (L 1006, off 40) 
 "ensuring" 1 (L 1677, off 10) 
 "entire" 1 (L 1233, off 61) 
 "entry" 1 (L 721, off 64) 
 "epochal" 1 (L 1380, off 51) 
 "errors" 1 (L 1609, off 31) 
 "escape" 1 (L 1301, off 36) 
 "escapes" 1 (L 1272, off 10) 
 "esophagus" 1 (L 907, off 8) 
 "especially" 1 (L 1433, off 19) 
 "essence" 1 (L 1043, off 38) 
 "essential" 1 (L 1382, off 58) 
 "essentially" 1 (L 1058, off 5) 
 "establishing" 1 (L 785, off 35) 
 "eternal" 1 (L 1047, off 0) 
 "eternity" 1 (L 1061, off 18) 
 "etext" 1 (L 46, off 37) 
 "ethical" 1 (L 182, off 47) 
 "evaluate" 1 (L 1385, off 22) 
 "everyone" 1 (L 350, off 13) 
 "everything" 1 (L 1039, off 56) 
 "evident" 1 (L 1092, off 57) 
 "evolved" 1 (L 1067, off 8) 
 "exactly" 1 (L 750, off 38) 
 "examined" 1 (L 478, off 59) 
 "excellent" 1 (L 109, off 15) 
 "excited" 1 (L 1230, off 59) 
 "excitement" 1 (L 462, off 22) 
 "exclusion" 1 (L 1647, off 18) 
 "exclusive" 1 (L 304, off 20) 
 "executed" 1 (L 619, off 0) 
 "exhaled" 1 (L 1024, off 34) 
 "exhibit" 1 (L 796, off 35) 
 "expend" 1 (L 1603, off 50) 
 "expense" 1 (L 1551, off 61) 
 "expensive" 1 (L 128, off 49) 
 "experience" 1 (L 367, off 0) 
 "explained" 1 (L 783, off 20) 
 "explaining" 1 (L 794, off 38) 
 "exploded" 1 (L 610, off 14) 
 "explored" 1 (L 845, off 49) 
 "exporting" 1 (L 1552, off 40) 
 "expressionless" 1 (L 317, off 11) 
 "extensive" 1 (L 1115, off 0) 
 "extracted" 1 (L 714, off 38) 
 "extracting" 1 (L 1043, off 0) 
 "eye-witness" 1 (L 1283, off 16) 
 "eyes--Jake" 1 (L 129, off 55) 
 "eyes--or" 1 (L 1225, off 7) 
 "fabricating" 1 (L 1298, off 28) 
 "faced" 1 (L 133, off 29) 
 "facility" 1 (L 1758, off 0) 
 "facing" 1 (L 1227, off 0) 
 "facts--was" 1 (L 369, off 53) 
 "fallen" 1 (L 1149, off 42) 
 "fancy" 1 (L 389, off 0) 
 "far" 1 (L 112, off 47) 
 "fascinated" 1 (L 1032, off 22) 
 "fasted" 1 (L 1156, off 16) 
 "father" 1 (L 1305, off 62) 
 "fathomed" 1 (L 608, off 17) 
 "favor" 1 (L 416, off 45) 
 "fear" 1 (L 1266, off 50) 
 "features" 1 (L 1373, off 60) 
 "feel" 1 (L 548, off 16) 
 "feeling" 1 (L 482, off 55) 
 "fewer" 1 (L 486, off 22) 
 "fierce" 1 (L 211, off 35) 
 "fifty-one" 1 (L 1304, off 57) 
 "fifty-percent" 1 (L 1303, off 38) 
 "fighting" 1 (L 318, off 48) 
 "filed" 1 (L 872, off 14) 
 "fill" 1 (L 906, off 31) 
 "filled" 1 (L 460, off 46) 
 "financial" 1 (L 1675, off 15) 
 "finest" 1 (L 43, off 39) 
 "fingerprint" 1 (L 727, off 43) 
 "fingerprinting" 1 (L 728, off 52) 
 "fingerprints--taken" 1 (L 718, off 0) 
 "finished" 1 (L 729, off 21) 
 "finite" 1 (L 1060, off 0) 
 "fired" 1 (L 565, off 12) 
 "fist" 1 (L 205, off 19) 
 "fit" 1 (L 151, off 23) 
 "fits" 1 (L 1185, off 64) 
 "fitted" 1 (L 994, off 42) 
 "fix" 1 (L 1639, off 33) 
 "flames" 1 (L 945, off 23) 
 "flickered" 1 (L 1238, off 0) 
 "floating" 1 (L 561, off 25) 
 "flow" 1 (L 818, off 9) 
 "flu" 1 (L 389, off 37) 
 "flustered" 1 (L 685, off 4) 
 "focus" 1 (L 1374, off 10) 
 "focussed" 1 (L 57, off 30) 
 "folding" 1 (L 297, off 34) 
 "folds" 1 (L 202, off 24) 
 "follow" 1 (L 1468, off 37) 
 "foodstuffs" 1 (L 1087, off 54) 
 "footnoted" 1 (L 1390, off 3) 
 "force" 1 (L 1111, off 12) 
 "forces" 1 (L 1051, off 26) 
 "forgotten" 1 (L 1348, off 0) 
 "formed" 1 (L 1356, off 61) 
 "fortunate" 1 (L 460, off 18) 
 "forty-seven" 1 (L 470, off 3) 
 "forty-three" 1 (L 266, off 10) 
 "fought" 1 (L 214, off 5) 
 "four" 1 (L 176, off 52) 
 "fourth" 1 (L 516, off 20) 
 "framework" 1 (L 1119, off 26) 
 "freedom" 1 (L 1272, off 29) 
 "fresh" 1 (L 384, off 20) 
 "friend" 1 (L 533, off 46) 
 "friendliness" 1 (L 652, off 40) 
 "frontier" 1 (L 1328, off 51) 
 "frowned" 1 (L 1212, off 5) 
 "fulfilled" 1 (L 1323, off 16) 
 "fullness" 1 (L 588, off 12) 
 "functions" 1 (L 995, off 12) 
 "funeral" 1 (L 435, off 44) 
 "furious" 1 (L 830, off 20) 
 "furiously" 1 (L 341, off 47) 
 "fusion" 1 (L 910, off 24) 
 "future--seek" 1 (L 1301, off 20) 
 "gamble" 1 (L 1233, off 47) 
 "gamut" 1 (L 1335, off 20) 
 "garments" 1 (L 808, off 39) 
 "gathered" 1 (L 44, off 17) 
 "gaunt" 1 (L 57, off 46) 
 "gavel" 1 (L 1025, off 4) 
 "gaveled" 1 (L 610, off 50) 
 "gavelled" 1 (L 1309, off 51) 
 "gbnewby" 1 (L 1707, off 4) 
 "gentlemen" 1 (L 1365, off 12) 
 "getaway" 1 (L 178, off 45) 
 "gets" 1 (L 540, off 50) 
 "ghost" 1 (L 602, off 21) 
 "gimlet-eyed" 1 (L 468, off 8) 
 "glanced" 1 (L 922, off 16) 
 "glass-fronted" 1 (L 60, off 7) 
 "glasses" 1 (L 783, off 45) 
 "gleamed" 1 (L 327, off 51) 
 "goals" 1 (L 1677, off 0) 
 "goes" 1 (L 1144, off 19) 
 "gossamer" 1 (L 1370, off 29) 
 "govern" 1 (L 1489, off 64) 
 "grafts" 1 (L 754, off 50) 
 "grain" 1 (L 378, off 15) 
 "grant" 1 (L 1322, off 7) 
 "granted" 1 (L 1689, off 25) 
 "grateful" 1 (L 281, off 43) 
 "gratefully" 1 (L 1734, off 28) 
 "grave" 1 (L 154, off 56) 
 "gravely" 1 (L 645, off 12) 
 "grieved" 1 (L 1187, off 17) 
 "grim" 1 (L 699, off 38) 
 "grimly" 1 (L 615, off 40) 
 "groomed" 1 (L 464, off 0) 
 "grope" 1 (L 1085, off 60) 
 "groped" 1 (L 1243, off 41) 
 "groping" 1 (L 1038, off 9) 
 "gross" 1 (L 1565, off 38) 
 "grossest" 1 (L 375, off 18) 
 "group" 1 (L 1595, off 32) 
 "growled" 1 (L 966, off 39) 
 "growling" 1 (L 498, off 46) 
 "grudgingly" 1 (L 975, off 32) 
 "grumbling" 1 (L 498, off 59) 
 "guess" 1 (L 204, off 3) 
 "guilty--or" 1 (L 794, off 7) 
 "gun" 1 (L 636, off 12) 
 "half-minute" 1 (L 591, off 18) 
 "halo" 1 (L 69, off 37) 
 "halted" 1 (L 65, off 5) 
 "handle" 1 (L 412, off 0) 
 "handled" 1 (L 242, off 38) 
 "hands--as" 1 (L 755, off 28) 
 "hanging" 1 (L 1257, off 55) 
 "happen" 1 (L 462, off 0) 
 "happening" 1 (L 63, off 29) 
 "harmless" 1 (L 1660, off 18) 
 "harp" 1 (L 1336, off 49) 
 "harshness" 1 (L 138, off 49) 
 "hasn't" 1 (L 270, off 0) 
 "hawk" 1 (L 150, off 38) 
 "he'd" 1 (L 445, off 41) 
 "he's" 1 (L 170, off 56) 
 "he--he" 1 (L 635, off 48) 
 "headquarters" 1 (L 373, off 13) 
 "hearts" 1 (L 571, off 9) 
 "heaved" 1 (L 741, off 44) 
 "heavier" 1 (L 156, off 33) 
 "heavy" 1 (L 1164, off 39) 
 "heights" 1 (L 370, off 17) 
 "helped" 1 (L 178, off 4) 
 "hewed" 1 (L 1280, off 3) 
 "hide" 1 (L 434, off 25) 
 "hides" 1 (L 1103, off 15) 
 "hinted" 1 (L 510, off 13) 
 "home" 1 (L 459, off 65) 
 "hope" 1 (L 1480, off 63) 
 "hours" 1 (L 144, off 11) 
 "hovering" 1 (L 150, off 22) 
 "hubub" 1 (L 468, off 45) 
 "humanity" 1 (L 586, off 24) 
 "hunch" 1 (L 70, off 36) 
 "hunched" 1 (L 300, off 25) 
 "hundreds" 1 (L 1672, off 33) 
 "husband" 1 (L 1305, off 35) 
 "hushed" 1 (L 52, off 26) 
 "hypertext" 1 (L 1547, off 23) 
 "hypnosis" 1 (L 1115, off 39) 
 "idea" 1 (L 1262, off 19) 
 "identifiable" 1 (L 828, off 56) 
 "identity" 1 (L 839, off 17) 
 "illusion" 1 (L 1263, off 6) 
 "image" 1 (L 1121, off 8) 
 "impact" 1 (L 1064, off 9) 
 "impassive" 1 (L 1000, off 9) 
 "impatient" 1 (L 471, off 28) 
 "impersonal" 1 (L 448, off 45) 
 "implanted" 1 (L 905, off 46) 
 "implied" 1 (L 1646, off 55) 
 "imposed" 1 (L 1530, off 17) 
 "impression" 1 (L 71, off 0) 
 "in-between" 1 (L 126, off 44) 
 "inaccurate" 1 (L 1608, off 60) 
 "include" 1 (L 1554, off 56) 
 "includes" 1 (L 1760, off 14) 
 "incomplete" 1 (L 1608, off 48) 
 "incongruous" 1 (L 69, off 25) 
 "incredible" 1 (L 1039, off 0) 
 "indeed--the" 1 (L 43, off 19) 
 "indefatigable" 1 (L 504, off 45) 
 "indemnify" 1 (L 1655, off 32) 
 "indicate" 1 (L 1451, off 21) 
 "indicates" 1 (L 888, off 53) 
 "indicating" 1 (L 1518, off 17) 
 "indirectly" 1 (L 1661, off 45) 
 "individualization" 1 (L 785, off 48) 
 "individuals" 1 (L 996, off 38) 
 "inescapably" 1 (L 1344, off 38) 
 "inexorable" 1 (L 616, off 17) 
 "inexorably" 1 (L 1084, off 0) 
 "infallible" 1 (L 765, off 12) 
 "infinitives" 1 (L 1254, off 34) 
 "informed" 1 (L 1105, off 58) 
 "infringement" 1 (L 1610, off 22) 
 "inherited" 1 (L 1120, off 10) 
 "injured" 1 (L 753, off 10) 
 "inquired" 1 (L 1176, off 11) 
 "insisted" 1 (L 463, off 36) 
 "insistent" 1 (L 472, off 14) 
 "inspired" 1 (L 586, off 49) 
 "instant" 1 (L 1381, off 54) 
 "instincts" 1 (L 1120, off 0) 
 "institution" 1 (L 840, off 45) 
 "instrument" 1 (L 1329, off 59) 
 "instruments" 1 (L 827, off 0) 
 "interjected" 1 (L 321, off 21) 
 "interminable" 1 (L 440, off 20) 
 "interpret" 1 (L 1255, off 32) 
 "interpreted" 1 (L 1650, off 19) 
 "interviewer" 1 (L 393, off 47) 
 "introspection" 1 (L 1059, off 31) 
 "invalidity" 1 (L 1651, off 54) 
 "inverse" 1 (L 154, off 12) 
 "investigators" 1 (L 341, off 0) 
 "invited" 1 (L 507, off 53) 
 "involuntarily" 1 (L 360, off 19) 
 "irrelevant" 1 (L 768, off 0) 
 "irresponsible" 1 (L 1075, off 0) 
 "issues" 1 (L 1279, off 47) 
 "it'll" 1 (L 204, off 9) 
 "it--and" 1 (L 175, off 10) 
 "it--these" 1 (L 738, off 40) 
 "itself" 1 (L 1037, off 35) 
 "jagged" 1 (L 1249, off 32) 
 "jail--in" 1 (L 1138, off 23) 
 "joined" 1 (L 360, off 33) 
 "joke" 1 (L 240, off 33) 
 "jowls" 1 (L 78, off 66) 
 "judged" 1 (L 1362, off 63) 
 "jury--we" 1 (L 1365, off 29) 
 "just--well" 1 (L 135, off 38) 
 "justice" 1 (L 1343, off 56) 
 "jutting" 1 (L 70, off 10) 
 "keen" 1 (L 1237, off 53) 
 "key" 1 (L 489, off 4) 
 "kick" 1 (L 472, off 66) 
 "kid" 1 (L 318, off 27) 
 "kinda" 1 (L 1214, off 49) 
 "kingpins" 1 (L 319, off 30) 
 "kit" 1 (L 728, off 4) 
 "knife" 1 (L 110, off 31) 
 "knuckles" 1 (L 442, off 61) 
 "lake" 1 (L 560, off 41) 
 "land" 1 (L 570, off 0) 
 "late" 1 (L 504, off 66) 
 "later" 1 (L 144, off 17) 
 "latest" 1 (L 160, off 0) 
 "leaders" 1 (L 1031, off 31) 
 "leads" 1 (L 1353, off 11) 
 "leaf" 1 (L 1257, off 50) 
 "leaking" 1 (L 503, off 0) 
 "leap" 1 (L 71, off 44) 
 "leaped" 1 (L 1249, off 20) 
 "learn" 1 (L 1681, off 16) 
 "learning" 1 (L 1034, off 43) 
 "least" 1 (L 470, off 61) 
 "leave" 1 (L 695, off 56) 
 "leaves" 1 (L 791, off 47) 
 "led" 1 (L 837, off 3) 
 "legally" 1 (L 1572, off 2) 
 "length" 1 (L 1141, off 35) 
 "less" 1 (L 486, off 33) 
 "liar" 1 (L 650, off 45) 
 "library" 1 (L 1746, off 26) 
 "licensed" 1 (L 1714, off 43) 
 "lifted" 1 (L 348, off 5) 
 "lights" 1 (L 272, off 52) 
 "likely" 1 (L 1378, off 17) 
 "limelight" 1 (L 371, off 13) 
 "limit" 1 (L 156, off 6) 
 "limitless" 1 (L 155, off 4) 
 "linked" 1 (L 1531, off 8) 
 "lip" 1 (L 665, off 24) 
 "lipstick" 1 (L 665, off 50) 
 "listened" 1 (L 99, off 49) 
 "listening" 1 (L 1184, off 18) 
 "lit" 1 (L 409, off 7) 
 "little" 1 (L 89, off 33) 
 "lived" 1 (L 265, off 44) 
 "load" 1 (L 178, off 11) 
 "loaded" 1 (L 1284, off 18) 
 "lobotomy" 1 (L 1099, off 0) 
 "logical" 1 (L 1079, off 23) 
 "looks" 1 
 "loose" 1 (L 1748, off 52) 
 "lost" 1 (L 1194, off 49) 
 "love" 1 (L 432, off 21) 
 "loved" 1 (L 265, off 54) 
 "lung" 1 (L 906, off 59) 
 "machine" 1 (L 1715, off 22) 
 "magnificent" 1 (L 72, off 4) 
 "mailing" 1 (L 1696, off 0) 
 "mainstream" 1 (L 511, off 15) 
 "maintaining" 1 (L 1717, off 45) 
 "makes" 1 (L 1495, off 48) 
 "man'" 1 
 "man--and" 1 (L 1383, off 11) 
 "man--completely" 1 (L 1341, off 0) 
 "man--whose" 1 (L 1012, off 29) 
 "mane" 1 (L 67, off 46) 
 "maneuvering" 1 (L 617, off 28) 
 "manipulatable" 1 (L 1273, off 15) 
 "mannish" 1 (L 329, off 27) 
 "march" 1 (L 598, off 27) 
 "marshalling" 1 (L 615, off 8) 
 "marveled" 1 (L 1041, off 59) 
 "mass" 1 (L 714, off 7) 
 "mastoid" 1 (L 838, off 35) 
 "material" 1 (L 796, off 52) 
 "matters" 1 (L 1319, off 53) 
 "maximum" 1 (L 1650, off 43) 
 "may--and" 1 (L 1378, off 3) 
 "meaningful" 1 (L 1329, off 48) 
 "measured" 1 (L 153, off 51) 
 "mellow" 1 (L 262, off 33) 
 "member" 1 (L 1336, off 8) 
 "members" 1 (L 299, off 36) 
 "memo" 1 (L 131, off 25) 
 "mesh" 1 (L 907, off 57) 
 "message" 1 (L 1251, off 24) 
 "met" 1 (L 1730, off 9) 
 "methodically" 1 (L 728, off 17) 
 "methods" 1 (L 1739, off 0) 
 "microfilm" 1 (L 440, off 47) 
 "microfilmed" 1 (L 392, off 27) 
 "mid-afternoon" 1 (L 384, off 36) 
 "mid-fifties" 1 (L 393, off 0) 
 "middle" 1 (L 697, off 32) 
 "middle-aged" 1 (L 1671, off 35) 
 "midst" 1 (L 391, off 7) 
 "might" 1 (L 290, off 56) 
 "mind" 1 (L 969, off 12) 
 "minds" 1 (L 43, off 46) 
 "mine" 1 (L 1178, off 43) 
 "mining" 1 (L 68, off 47) 
 "miracle" 1 (L 1111, off 37) 
 "miracles" 1 (L 1300, off 25) 
 "mirthless" 1 (L 1253, off 29) 
 "miserable" 1 (L 104, off 2) 
 "mist" 1 (L 434, off 34) 
 "mistresses" 1 (L 395, off 45) 
 "mocked" 1 (L 182, off 20) 
 "mockery" 1 (L 1171, off 34) 
 "model" 1 (L 1278, off 50) 
 "modification" 1 (L 1663, off 50) 
 "modified" 1 (L 1430, off 39) 
 "moistening" 1 (L 1193, off 32) 
 "moments" 1 (L 62, off 0) 
 "months" 1 (L 1013, off 20) 
 "mother" 1 (L 162, off 31) 
 "motionless" 1 (L 1258, off 0) 
 "motivated" 1 (L 1261, off 21) 
 "motor" 1 (L 560, off 62) 
 "mound" 1 (L 392, off 18) 
 "mounting" 1 (L 387, off 59) 
 "mouthpiece" 1 (L 101, off 16) 
 "moving" 1 (L 169, off 40) 
 "much--heard" 1 (L 1222, off 14) 
 "mule" 1 (L 472, off 57) 
 "murder" 1 (L 1167, off 59) 
 "murderer" 1 (L 793, off 55) 
 "murderer's" 1 (L 792, off 0) 
 "murmured" 1 (L 559, off 50) 
 "muttered" 1 (L 831, off 3) 
 "mutual" 1 (L 784, off 44) 
 "narrowed" 1 (L 775, off 21) 
 "nasal" 1 (L 838, off 7) 
 "nascent" 1 (L 1054, off 11) 
 "nation" 1 (L 387, off 14) 
 "naturalism" 1 (L 1067, off 28) 
 "navel" 1 (L 850, off 10) 
 "neat" 1 (L 340, off 40) 
 "necessarily" 1 (L 1754, off 0) 
 "needed" 1 (L 292, off 0) 
 "needled" 1 (L 502, off 51) 
 "network" 1 (L 1748, off 58) 
 "never-ending" 1 (L 170, off 0) 
 "news" 1 (L 856, off 48) 
 "newsletter" 1 (L 1763, off 23) 
 "newsmen" 1 (L 62, off 17) 
 "newspapermen" 1 (L 297, off 6) 
 "nightly" 1 (L 864, off 0) 
 "nod" 1 (L 606, off 0) 
 "node" 1 (L 1260, off 25) 
 "non" 1 (L 1687, off 55) 
 "nonproprietary" 1 (L 1546, off 23) 
 "north" 1 (L 496, off 14) 
 "notes" 1 (L 518, off 7) 
 "notifies" 1 (L 1578, off 60) 
 "now--or" 1 (L 1301, off 0) 
 "nowadays" 1 (L 951, off 48) 
 "numerous" 1 (L 1697, off 50) 
 "oasis" 1 (L 1034, off 34) 
 "oath" 1 (L 836, off 51) 
 "object--only" 1 (L 1273, off 29) 
 "objection" 1 (L 779, off 23) 
 "objective" 1 (L 1334, off 28) 
 "observe" 1 (L 629, off 27) 
 "obsolete" 1 (L 1671, off 20) 
 "occasions" 1 (L 1179, off 0) 
 "occur" 1 (L 1662, off 39) 
 "offers" 1 (L 1732, off 17) 
 "older" 1 (L 157, off 37) 
 "one--the" 1 (L 1415, off 43) 
 "ones" 1 (L 206, off 44) 
 "opacity" 1 (L 1050, off 39) 
 "opponent" 1 (L 618, off 12) 
 "opportunities" 1 (L 1639, off 16) 
 "opportunity" 1 (L 1637, off 0) 
 "oppose" 1 (L 1319, off 21) 
 "opposing" 1 (L 746, off 5) 
 "opthalmologic" 1 (L 845, off 4) 
 "order" 1 (L 1022, off 60) 
 "ordered" 1 (L 1112, off 15) 
 "ordinarily" 1 (L 1127, off 30) 
 "organ" 1 (L 1073, off 26) 
 "organism" 1 (L 993, off 36) 
 "organisms" 1 (L 994, off 27) 
 "organized" 1 (L 1688, off 34) 
 "organs" 1 (L 915, off 0) 
 "originator" 1 (L 1745, off 34) 
 "orthodox" 1 (L 486, off 38) 
 "ourselves" 1 (L 860, off 61) 
 "outcry" 1 (L 1245, off 43) 
 "outdated" 1 (L 1716, off 29) 
 "outer" 1 (L 1358, off 24) 
 "outlet" 1 (L 588, off 37) 
 "outrageous" 1 (L 744, off 55) 
 "overcast" 1 (L 327, off 38) 
 "overcome" 1 (L 1111, off 56) 
 "overly" 1 (L 627, off 35) 
 "owed" 1 (L 1567, off 65) 
 "pages" 1 (L 1738, off 39) 
 "pained" 1 (L 930, off 51) 
 "pair" 1 (L 52, off 6) 
 "pairs" 1 (L 57, off 16) 
 "palmar" 1 (L 1157, off 20) 
 "panderers" 1 (L 570, off 50) 
 "panicky" 1 (L 177, off 8) 
 "panning" 1 (L 511, off 3) 
 "paper" 1 (L 1754, off 58) 
 "paperwork" 1 (L 1723, off 26) 
 "parade" 1 (L 1031, off 0) 
 "paraffin" 1 (L 906, off 0) 
 "pardon" 1 (L 81, off 15) 
 "parent" 1 (L 920, off 22) 
 "paring" 1 (L 110, off 24) 
 "park" 1 (L 272, off 29) 
 "parole" 1 (L 570, off 43) 
 "party" 1 (L 1617, off 38) 
 "passed" 1 (L 830, off 53) 
 "passing" 1 (L 1051, off 18) 
 "patch" 1 (L 907, off 65) 
 "path" 1 (L 1353, off 24) 
 "patient's" 1 (L 1107, off 57) 
 "patterns" 1 (L 1206, off 0) 
 "pausing" 1 (L 903, off 0) 
 "pavement" 1 (L 560, off 0) 
 "pawn" 1 (L 169, off 58) 
 "peace" 1 (L 1371, off 14) 
 "peaks" 1 (L 1249, off 39) 
 "peculiarly" 1 (L 581, off 31) 
 "pedantically" 1 (L 783, off 53) 
 "peddling" 1 (L 377, off 46) 
 "peer" 1 (L 1274, off 0) 
 "pencil-thin" 1 (L 409, off 19) 
 "penetrated" 1 (L 1112, off 0) 
 "penny-ante" 1 (L 545, off 58) 
 "pentathol" 1 (L 1115, off 59) 
 "perceptive" 1 (L 380, off 20) 
 "peremptorily" 1 (L 610, off 58) 
 "performance" 1 (L 994, off 57) 
 "performances" 1 (L 1430, off 0) 
 "performed" 1 (L 1506, off 0) 
 "period" 1 (L 1105, off 25) 
 "periodic" 1 (L 1572, off 36) 
 "permanent" 1 (L 1680, off 4) 
 "permitting" 1 (L 1179, off 30) 
 "perpetual" 1 (L 79, off 4) 
 "personal" 1 (L 1121, off 61) 
 "personality" 1 (L 1095, off 0) 
 "personally" 1 (L 507, off 42) 
 "persuade" 1 (L 72, off 59) 
 "petty" 1 (L 377, off 25) 
 "pglaf" 1 (L 1707, off 12) 
 "philosopher" 1 (L 1006, off 6) 
 "philosophically" 1 (L 863, off 5) 
 "photographs" 1 (L 1283, off 51) 
 "photostat" 1 (L 721, off 23) 
 "physician" 1 (L 992, off 16) 
 "physicians" 1 (L 1156, off 0) 
 "physics" 1 (L 1064, off 46) 
 "physiology" 1 (L 829, off 15) 
 "picaresque" 1 (L 386, off 5) 
 "pick-pocketing" 1 (L 377, off 9) 
 "picked" 1 (L 1314, off 18) 
 "piece" 1 (L 801, off 9) 
 "pills" 1 (L 530, off 5) 
 "pimping" 1 (L 377, off 0) 
 "pious" 1 (L 1263, off 0) 
 "pipelines" 1 (L 303, off 35) 
 "pivotal" 1 (L 1092, off 4) 
 "places" 1 (L 296, off 51) 
 "planet" 1 (L 520, off 57) 
 "platform" 1 (L 520, off 31) 
 "playing" 1 (L 1075, off 21) 
 "plead--and" 1 (L 150, off 4) 
 "plenty" 1 (L 292, off 17) 
 "plucking" 1 (L 1335, off 61) 
 "plump" 1 (L 627, off 42) 
 "pneumograph" 1 (L 1154, off 34) 
