 "'AS-IS'"
 "--bootlegging"(L 378, off 50) 
 "employed"(L 847, off 43) 
 "employee"(L 1656, off 30) 
 "end"(L 363, off 59) 
 "endless"(L 558, off 52) 
 "energized"(L 1261, off 7) 
 "energy"(L 995, off 59) 
 "engage"(L 1006, off 40) 
 "ensuring"(L 1677, off 10) 
 "entire"(L 1233, off 61) 
 "entry"(L 721, off 64) 
 "epochal"(L 1380, off 51) 
 "errors"(L 1609, off 31) 
 "escape"(L 1301, off 36) 
 "escapes"(L 1272, off 10) 
 "esophagus"(L 907, off 8) 
 "especially"(L 1433, off 19) 
 "essence"(L 1043, off 38) 
 "essential"(L 1382, off 58) 
 "essentially"(L 1058, off 5) 
 "establishing"(L 785, off 35) 
 "eternal"(L 1047, off 0) 
 "eternity"(L 1061, off 18) 
 "etext"(L 46, off 37) 
 "ethical"(L 182, off 47) 
 "evaluate"(L 1385, off 22) 
 "everyone"(L 350, off 13) 
 "everything"(L 1039, off 56) 
 "evident"(L 1092, off 57) 
 "evolved"(L 1067, off 8) 
 "exactly"(L 750, off 38) 
 "examined"(L 478, off 59) 
 "excellent"(L 109, off 15) 
 "excited"(L 1230, off 59) 
 "excitement"(L 462, off 22) 
 "exclusion"(L 1647, off 18) 
 "exclusive"(L 304, off 20) 
 "executed"(L 619, off 0) 
 "exhaled"(L 1024, off 34) 
 "exhibit"(L 796, off 35) 
 "expend"(L 1603, off 50) 
 "expense"(L 1551, off 61) 
 "expensive"(L 128, off 49) 
 "experience"(L 367, off 0) 
 "explained"(L 783, off 20) 
 "explaining"(L 794, off 38) 
 "exploded"(L 610, off 14) 
 "explored"(L 845, off 49) 
 "exporting"(L 1552, off 40) 
 "expressionless"(L 317, off 11) 
 "extensive"(L 1115, off 0) 
 "extracted"(L 714, off 38) 
 "extracting"(L 1043, off 0) 
 "eye-witness"(L 1283, off 16) 
 "eyes--Jake"(L 129, off 55) 
 "eyes--or"(L 1225, off 7) 
 "fabricating"(L 1298, off 28) 
 "faced"(L 133, off 29) 
 "facility"(L 1758, off 0) 
 "facing"(L 1227, off 0) 
 "facts--was"(L 369, off 53) 
 "fallen"(L 1149, off 42) 
 "fancy"(L 389, off 0) 
 "far"(L 112, off 47) 
 "fascinated"(L 1032, off 22) 
 "fasted"(L 1156, off 16) 
 "father"(L 1305, off 62) 
 "fathomed"(L 608, off 17) 
 "favor"(L 416, off 45) 
 "fear"(L 1266, off 50) 
 "features"(L 1373, off 60) 
 "feel"(L 548, off 16) 
 "feeling"(L 482, off 55) 
 "fewer"(L 486, off 22) 
 "fierce"(L 211, off 35) 
 "fifty-one"(L 1304, off 57) 
 "fifty-percent"(L 1303, off 38) 
 "fighting"(L 318, off 48) 
 "filed"(L 872, off 14) 
 "fill"(L 906, off 31) 
 "filled"(L 460, off 46) 
 "financial"(L 1675, off 15) 
 "finest"(L 43, off 39) 
 "fingerprint"(L 727, off 43) 
 "fingerprinting"(L 728, off 52) 
 "fingerprints--taken"(L 718, off 0) 
 "finished"(L 729, off 21) 
 "finite"(L 1060, off 0) 
 "fired"(L 565, off 12) 
 "fist"(L 205, off 19) 
 "fit"(L 151, off 23) 
 "fits"(L 1185, off 64) 
 "fitted"(L 994, off 42) 
 "fix"(L 1639, off 33) 
 "flames"(L 945, off 23) 
 "flickered"(L 1238, off 0) 
 "floating"(L 561, off 25) 
 "flow"(L 818, off 9) 
 "flu"(L 389, off 37) 
 "flustered"(L 685, off 4) 
 "focus"(L 1374, off 10) 
 "focussed"(L 57, off 30) 
 "folding"(L 297, off 34) 
 "folds"(L 202, off 24) 
 "follow"(L 1468, off 37) 
 "foodstuffs"(L 1087, off 54) 
 "footnoted"(L 1390, off 3) 
 "force"(L 1111, off 12) 
 "forces"(L 1051, off 26) 
 "forgotten"(L 1348, off 0) 
 "formed"(L 1356, off 61) 
 "fortunate"(L 460, off 18) 
 "forty-seven"(L 470, off 3) 
 "forty-three"(L 266, off 10) 
 "fought"(L 214, off 5) 
 "four"(L 176, off 52) 
 "fourth"(L 516, off 20) 
 "framework"(L 1119, off 26) 
 "freedom"(L 1272, off 29) 
 "fresh"(L 384, off 20) 
 "friend"(L 533, off 46) 
 "friendliness"(L 652, off 40) 
 "frontier"(L 1328, off 51) 
 "frowned"(L 1212, off 5) 
 "fulfilled"(L 1323, off 16) 
 "fullness"(L 588, off 12) 
 "functions"(L 995, off 12) 
 "funeral"(L 435, off 44) 
 "furious"(L 830, off 20) 
 "furiously"(L 341, off 47) 
 "fusion"(L 910, off 24) 
 "future--seek"(L 1301, off 20) 
 "gamble"(L 1233, off 47) 
 "gamut"(L 1335, off 20) 
 "garments"(L 808, off 39) 
 "gathered"(L 44, off 17) 
 "gaunt"(L 57, off 46) 
 "gavel"(L 1025, off 4) 
 "gaveled"(L 610, off 50) 
 "gavelled"(L 1309, off 51) 
 "gbnewby"(L 1707, off 4) 
 "gentlemen"(L 1365, off 12) 
 "getaway"(L 178, off 45) 
 "gets"(L 540, off 50) 
 "ghost"(L 602, off 21) 
 "gimlet-eyed"(L 468, off 8) 
 "glanced"(L 922, off 16) 
 "glass-fronted"(L 60, off 7) 
 "glasses"(L 783, off 45) 
 "gleamed"(L 327, off 51) 
 "goals"(L 1677, off 0) 
 "goes"(L 1144, off 19) 
 "gossamer"(L 1370, off 29) 
 "govern"(L 1489, off 64) 
 "grafts"(L 754, off 50) 
 "grain"(L 378, off 15) 
 "grant"(L 1322, off 7) 
 "granted"(L 1689, off 25) 
 "grateful"(L 281, off 43) 
 "gratefully"(L 1734, off 28) 
 "grave"(L 154, off 56) 
 "gravely"(L 645, off 12) 
 "grieved"(L 1187, off 17) 
 "grim"(L 699, off 38) 
 "grimly"(L 615, off 40) 
 "groomed"(L 464, off 0) 
 "grope"(L 1085, off 60) 
 "groped"(L 1243, off 41) 
 "groping"(L 1038, off 9) 
 "gross"(L 1565, off 38) 
 "grossest"(L 375, off 18) 
 "group"(L 1595, off 32) 
 "growled"(L 966, off 39) 
 "growling"(L 498, off 46) 
 "grudgingly"(L 975, off 32) 
 "grumbling"(L 498, off 59) 
 "guess"(L 204, off 3) 
 "guilty--or"(L 794, off 7) 
 "gun"(L 636, off 12) 
 "half-minute"(L 591, off 18) 
 "halo"(L 69, off 37) 
 "halted"(L 65, off 5) 
 "handle"(L 412, off 0) 
 "handled"(L 242, off 38) 
 "hands--as"(L 755, off 28) 
 "hanging"(L 1257, off 55) 
 "happen"(L 462, off 0) 
 "happening"(L 63, off 29) 
 "harmless"(L 1660, off 18) 
 "harp"(L 1336, off 49) 
 "harshness"(L 138, off 49) 
 "hasn't"(L 270, off 0) 
 "hawk"(L 150, off 38) 
 "he'd"(L 445, off 41) 
 "he's"(L 170, off 56) 
 "he--he"(L 635, off 48) 
 "headquarters"(L 373, off 13) 
 "hearts"(L 571, off 9) 
 "heaved"(L 741, off 44) 
 "heavier"(L 156, off 33) 
 "heavy"(L 1164, off 39) 
 "heights"(L 370, off 17) 
 "helped"(L 178, off 4) 
 "hewed"(L 1280, off 3) 
 "hide"(L 434, off 25) 
 "hides"(L 1103, off 15) 
 "hinted"(L 510, off 13) 
 "home"(L 459, off 65) 
 "hope"(L 1480, off 63) 
 "hours"(L 144, off 11) 
 "hovering"(L 150, off 22) 
 "hubub"(L 468, off 45) 
 "humanity"(L 586, off 24) 
 "hunch"(L 70, off 36) 
 "hunched"(L 300, off 25) 
 "hundreds"(L 1672, off 33) 
 "husband"(L 1305, off 35) 
 "hushed"(L 52, off 26) 
 "hypertext"(L 1547, off 23) 
 "hypnosis"(L 1115, off 39) 
 "idea"(L 1262, off 19) 
 "identifiable"(L 828, off 56) 
 "identity"(L 839, off 17) 
 "illusion"(L 1263, off 6) 
 "image"(L 1121, off 8) 
 "impact"(L 1064, off 9) 
 "impassive"(L 1000, off 9) 
 "impatient"(L 471, off 28) 
 "impersonal"(L 448, off 45) 
 "implanted"(L 905, off 46) 
 "implied"(L 1646, off 55) 
 "imposed"(L 1530, off 17) 
 "impression"(L 71, off 0) 
 "in-between"(L 126, off 44) 
 "inaccurate"(L 1608, off 60) 
 "include"(L 1554, off 56) 
 "includes"(L 1760, off 14) 
 "incomplete"(L 1608, off 48) 
 "incongruous"(L 69, off 25) 
 "incredible"(L 1039, off 0) 
 "indeed--the"(L 43, off 19) 
 "indefatigable"(L 504, off 45) 
 "indemnify"(L 1655, off 32) 
 "indicate"(L 1451, off 21) 
 "indicates"(L 888, off 53) 
 "indicating"(L 1518, off 17) 
 "indirectly"(L 1661, off 45) 
 "individualization"(L 785, off 48) 
 "individuals"(L 996, off 38) 
 "inescapably"(L 1344, off 38) 
 "inexorable"(L 616, off 17) 
 "inexorably"(L 1084, off 0) 
 "infallible"(L 765, off 12) 
 "infinitives"(L 1254, off 34) 
 "informed"(L 1105, off 58) 
 "infringement"(L 1610, off 22) 
 "inherited"(L 1120, off 10) 
 "injured"(L 753, off 10) 
 "inquired"(L 1176, off 11) 
 "insisted"(L 463, off 36) 
 "insistent"(L 472, off 14) 
 "inspired"(L 586, off 49) 
 "instant"(L 1381, off 54) 
 "instincts"(L 1120, off 0) 
 "institution"(L 840, off 45) 
 "instrument"(L 1329, off 59) 
 "instruments"(L 827, off 0) 
 "interjected"(L 321, off 21) 
 "interminable"(L 440, off 20) 
 "interpret"(L 1255, off 32) 
 "interpreted"(L 1650, off 19) 
 "interviewer"(L 393, off 47) 
 "introspection"(L 1059, off 31) 
 "invalidity"(L 1651, off 54) 
 "inverse"(L 154, off 12) 
 "investigators"(L 341, off 0) 
 "invited"(L 507, off 53) 
 "involuntarily"(L 360, off 19) 
 "irrelevant"(L 768, off 0) 
 "irresponsible"(L 1075, off 0) 
 "issues"(L 1279, off 47) 
 "it'll"(L 204, off 9) 
 "it--and"(L 175, off 10) 
 "it--these"(L 738, off 40) 
 "itself"(L 1037, off 35) 
 "jagged"(L 1249, off 32) 
 "jail--in"(L 1138, off 23) 
 "joined"(L 360, off 33) 
 "joke"(L 240, off 33) 
 "jowls"(L 78, off 66) 
 "judged"(L 1362, off 63) 
 "jury--we"(L 1365, off 29) 
 "just--well"(L 135, off 38) 
 "justice"(L 1343, off 56) 
 "jutting"(L 70, off 10) 
 "keen"(L 1237, off 53) 
 "key"(L 489, off 4) 
 "kick"(L 472, off 66) 
 "kid"(L 318, off 27) 
 "kinda"(L 1214, off 49) 
 "kingpins"(L 319, off 30) 
 "kit"(L 728, off 4) 
 "knife"(L 110, off 31) 
 "knuckles"(L 442, off 61) 
 "lake"(L 560, off 41) 
 "land"(L 570, off 0) 
 "late"(L 504, off 66) 
 "later"(L 144, off 17) 
 "latest"(L 160, off 0) 
 "leaders"(L 1031, off 31) 
 "leads"(L 1353, off 11) 
 "leaf"(L 1257, off 50) 
 "leaking"(L 503, off 0) 
 "leap"(L 71, off 44) 
 "leaped"(L 1249, off 20) 
 "learn"(L 1681, off 16) 
 "learning"(L 1034, off 43) 
 "least"(L 470, off 61) 
 "leave"(L 695, off 56) 
 "leaves"(L 791, off 47) 
 "led"(L 837, off 3) 
 "legally"(L 1572, off 2) 
 "length"(L 1141, off 35) 
 "less"(L 486, off 33) 
 "liar"(L 650, off 45) 
 "library"(L 1746, off 26) 
 "licensed"(L 1714, off 43) 
 "lifted"(L 348, off 5) 
 "lights"(L 272, off 52) 
 "likely"(L 1378, off 17) 
 "limelight"(L 371, off 13) 
 "limit"(L 156, off 6) 
 "limitless"(L 155, off 4) 
 "linked"(L 1531, off 8) 
 "lip"(L 665, off 24) 
 "lipstick"(L 665, off 50) 
 "listened"(L 99, off 49) 
 "listening"(L 1184, off 18) 
 "lit"(L 409, off 7) 
 "little"(L 89, off 33) 
 "lived"(L 265, off 44) 
 "load"(L 178, off 11) 
 "loaded"(L 1284, off 18) 
 "lobotomy"(L 1099, off 0) 
 "logical"(L 1079, off 23) 
 "looks"
 "loose"(L 1748, off 52) 
 "lost"(L 1194, off 49) 
 "love"(L 432, off 21) 
 "loved"(L 265, off 54) 
 "lung"(L 906, off 59) 
 "machine"(L 1715, off 22) 
 "magnificent"(L 72, off 4) 
 "mailing"(L 1696, off 0) 
 "mainstream"(L 511, off 15) 
 "maintaining"(L 1717, off 45) 
 "makes"(L 1495, off 48) 
 "man'"
 "man--and"(L 1383, off 11) 
 "man--completely"(L 1341, off 0) 
 "man--whose"(L 1012, off 29) 
 "mane"(L 67, off 46) 
 "maneuvering"(L 617, off 28) 
 "manipulatable"(L 1273, off 15) 
 "mannish"(L 329, off 27) 
 "march"(L 598, off 27) 
 "marshalling"(L 615, off 8) 
 "marveled"(L 1041, off 59) 
 "mass"(L 714, off 7) 
 "mastoid"(L 838, off 35) 
 "material"(L 796, off 52) 
 "matters"(L 1319, off 53) 
 "maximum"(L 1650, off 43) 
 "may--and"(L 1378, off 3) 
 "meaningful"(L 1329, off 48) 
 "measured"(L 153, off 51) 
 "mellow"(L 262, off 33) 
 "member"(L 1336, off 8) 
 "members"(L 299, off 36) 
 "memo"(L 131, off 25) 
 "mesh"(L 907, off 57) 
 "message"(L 1251, off 24) 
 "met"(L 1730, off 9) 
 "methodically"(L 728, off 17) 
 "methods"(L 1739, off 0) 
 "microfilm"(L 440, off 47) 
 "microfilmed"(L 392, off 27) 
 "mid-afternoon"(L 384, off 36) 
 "mid-fifties"(L 393, off 0) 
 "middle"(L 697, off 32) 
 "middle-aged"(L 1671, off 35) 
 "midst"(L 391, off 7) 
 "might"(L 290, off 56) 
 "mind"(L 969, off 12) 
 "minds"(L 43, off 46) 
 "mine"(L 1178, off 43) 
 "mining"(L 68, off 47) 
 "miracle"(L 1111, off 37) 
 "miracles"(L 1300, off 25) 
 "mirthless"(L 1253, off 29) 
 "miserable"(L 104, off 2) 
 "mist"(L 434, off 34) 
 "mistresses"(L 395, off 45) 
 "mocked"(L 182, off 20) 
 "mockery"(L 1171, off 34) 
 "model"(L 1278, off 50) 
 "modification"(L 1663, off 50) 
 "modified"(L 1430, off 39) 
 "moistening"(L 1193, off 32) 
 "moments"(L 62, off 0) 
 "months"(L 1013, off 20) 
 "mother"(L 162, off 31) 
 "motionless"(L 1258, off 0) 
 "motivated"(L 1261, off 21) 
 "motor"(L 560, off 62) 
 "mound"(L 392, off 18) 
 "mounting"(L 387, off 59) 
 "mouthpiece"(L 101, off 16) 
 "moving"(L 169, off 40) 
 "much--heard"(L 1222, off 14) 
 "mule"(L 472, off 57) 
 "murder"(L 1167, off 59) 
 "murderer"(L 793, off 55) 
 "murderer's"(L 792, off 0) 
 "murmured"(L 559, off 50) 
 "muttered"(L 831, off 3) 
 "mutual"(L 784, off 44) 
 "narrowed"(L 775, off 21) 
 "nasal"(L 838, off 7) 
 "nascent"(L 1054, off 11) 
 "nation"(L 387, off 14) 
 "naturalism"(L 1067, off 28) 
 "navel"(L 850, off 10) 
 "neat"(L 340, off 40) 
 "necessarily"(L 1754, off 0) 
 "needed"(L 292, off 0) 
 "needled"(L 502, off 51) 
 "network"(L 1748, off 58) 
 "never-ending"(L 170, off 0) 
 "news"(L 856, off 48) 
 "newsletter"(L 1763, off 23) 
 "newsmen"(L 62, off 17) 
 "newspapermen"(L 297, off 6) 
 "nightly"(L 864, off 0) 
 "nod"(L 606, off 0) 
 "node"(L 1260, off 25) 
 "non"(L 1687, off 55) 
 "nonproprietary"(L 1546, off 23) 
 "north"(L 496, off 14) 
 "notes"(L 518, off 7) 
 "notifies"(L 1578, off 60) 
 "now--or"(L 1301, off 0) 
 "nowadays"(L 951, off 48) 
 "numerous"(L 1697, off 50) 
 "oasis"(L 1034, off 34) 
 "oath"(L 836, off 51) 
 "object--only"(L 1273, off 29) 
 "objection"(L 779, off 23) 
 "objective"(L 1334, off 28) 
 "observe"(L 629, off 27) 
 "obsolete"(L 1671, off 20) 
 "occasions"(L 1179, off 0) 
 "occur"(L 1662, off 39) 
 "offers"(L 1732, off 17) 
 "older"(L 157, off 37) 
 "one--the"(L 1415, off 43) 
 "ones"(L 206, off 44) 
 "opacity"(L 1050, off 39) 
 "opponent"(L 618, off 12) 
 "opportunities"(L 1639, off 16) 
 "opportunity"(L 1637, off 0) 
 "oppose"(L 1319, off 21) 
 "opposing"(L 746, off 5) 
 "opthalmologic"(L 845, off 4) 
 "order"(L 1022, off 60) 
 "ordered"(L 1112, off 15) 
 "ordinarily"(L 1127, off 30) 
 "organ"(L 1073, off 26) 
 "organism"(L 993, off 36) 
 "organisms"(L 994, off 27) 
 "organized"(L 1688, off 34) 
 "organs"(L 915, off 0) 
 "originator"(L 1745, off 34) 
 "orthodox"(L 486, off 38) 
 "ourselves"(L 860, off 61) 
 "outcry"(L 1245, off 43) 
 "outdated"(L 1716, off 29) 
 "outer"(L 1358, off 24) 
 "outlet"(L 588, off 37) 
 "outrageous"(L 744, off 55) 
 "overcast"(L 327, off 38) 
 "overcome"(L 1111, off 56) 
 "overly"(L 627, off 35) 
 "owed"(L 1567, off 65) 
 "pages"(L 1738, off 39) 
 "pained"(L 930, off 51) 
 "pair"(L 52, off 6) 
 "pairs"(L 57, off 16) 
 "palmar"(L 1157, off 20) 
 "panderers"(L 570, off 50) 
 "panicky"(L 177, off 8) 
 "panning"(L 511, off 3) 
 "paper"(L 1754, off 58) 
 "paperwork"(L 1723, off 26) 
 "parade"(L 1031, off 0) 
 "paraffin"(L 906, off 0) 
 "pardon"(L 81, off 15) 
 "parent"(L 920, off 22) 
 "paring"(L 110, off 24) 
 "park"(L 272, off 29) 
 "parole"(L 570, off 43) 
 "party"(L 1617, off 38) 
 "passed"(L 830, off 53) 
 "passing"(L 1051, off 18) 
 "patch"(L 907, off 65) 
 "path"(L 1353, off 24) 
 "patient's"(L 1107, off 57) 
 "patterns"(L 1206, off 0) 
 "pausing"(L 903, off 0) 
 "pavement"(L 560, off 0) 
 "pawn"(L 169, off 58) 
 "peace"(L 1371, off 14) 
 "peaks"(L 1249, off 39) 
 "peculiarly"(L 581, off 31) 
 "pedantically"(L 783, off 53) 
 "peddling"(L 377, off 46) 
 "peer"(L 1274, off 0) 
 "pencil-thin"(L 409, off 19) 
 "penetrated"(L 1112, off 0) 
 "penny-ante"(L 545, off 58) 
 "pentathol"(L 1115, off 59) 
 "perceptive"(L 380, off 20) 
 "peremptorily"(L 610, off 58) 
 "performance"(L 994, off 57) 
 "performances"(L 1430, off 0) 
 "performed"(L 1506, off 0) 
 "period"(L 1105, off 25) 
 "periodic"(L 1572, off 36) 
 "permanent"(L 1680, off 4) 
 "permitting"(L 1179, off 30) 
 "perpetual"(L 79, off 4) 
 "personal"(L 1121, off 61) 
 "personality"(L 1095, off 0) 
 "personally"(L 507, off 42) 
 "persuade"(L 72, off 59) 
 "petty"(L 377, off 25) 
 "pglaf"(L 1707, off 12) 
 "philosopher"(L 1006, off 6) 
 "philosophically"(L 863, off 5) 
 "photographs"(L 1283, off 51) 
 "photostat"(L 721, off 23) 
 "physician"(L 992, off 16) 
 "physicians"(L 1156, off 0) 
 "physics"(L 1064, off 46) 
 "physiology"(L 829, off 15) 
 "picaresque"(L 386, off 5) 
 "pick-pocketing"(L 377, off 9) 
 "picked"(L 1314, off 18) 
 "piece"(L 801, off 9) 
 "pills"(L 530, off 5) 
 "pimping"(L 377, off 0) 
 "pious"(L 1263, off 0) 
 "pipelines"(L 303, off 35) 
 "pivotal"(L 1092, off 4) 
 "places"(L 296, off 51) 
 "planet"(L 520, off 57) 
 "platform"(L 520, off 31) 
 "playing"(L 1075, off 21) 
 "plead--and"(L 150, off 4) 
 "plenty"(L 292, off 17) 
 "plucking"(L 1335, off 61) 
 "plump"(L 627, off 42) 
 "pneumograph"(L 1154, off 34) 
 "police"(L 706, off 0) 
 "ponder"(L 1382, off 47) 
 "population"(L 388, off 0) 
 "pores"(L 1150, off 23) 
 "position"(L 629, off 15) 
 "possessed"(L 1582, off 22) 
 "possession"(L 1456, off 0) 
 "possibilities"(L 155, off 14) 
 "possibly"(L 102, off 27) 
 "pounce"(L 150, off 46) 
 "practically"(L 1431, off 17) 
 "practice"(L 577, off 9) 
 "preamble"(L 488, off 42) 
 "predictable"(L 1273, off 0) 
 "preparation"(L 449, off 47) 
 "presents"(L 1110, off 10) 
 "preserve"(L 1469, off 19) 
 "press"(L 299, off 59) 
 "pressures"(L 1100, off 0) 
 "prevent"(L 1478, off 17) 
 "previous"(L 1415, off 34) 
 "principal"(L 1695, off 17) 
 "print"(L 1418, off 24) 
 "prisoner"(L 1133, off 22) 
 "prisoner's"(L 112, off 58) 
 "prisoner-patient"(L 1127, off 52) 
 "prisoners'"
 "probing"(L 506, off 63) 
 "problem"(L 1639, off 41) 
 "procedure"(L 1170, off 15) 
 "process"(L 587, off 45) 
 "process--a"(L 1069, off 0) 
 "processing"(L 1547, off 9) 
 "proclaiming"(L 1307, off 0) 
 "prodded"(L 1002, off 39) 
 "prodding"(L 1098, off 22) 
 "producing"(L 1107, off 30) 
 "production"(L 1659, off 0) 
 "profits"(L 1565, off 44) 
 "prohibition"(L 1730, off 58) 
 "projection"(L 850, off 29) 
 "promotion"(L 1659, off 12) 
 "promptly"(L 1314, off 9) 
 "proofread"(L 1604, off 61) 
 "proportion"(L 154, off 20) 
 "proprietary"(L 1546, off 41) 
 "prosecution"(L 694, off 24) 
 "protecting"(L 1074, off 0) 
 "proved"(L 1286, off 13) 
 "proves"(L 1080, off 34) 
 "provision"(L 1652, off 24) 
 "provisions"(L 1653, off 10) 
 "provocative"(L 507, off 0) 
 "psychiatrist"(L 1114, off 20) 
 "psychiatry"(L 1299, off 60) 
 "publication"(L 49, off 36) 
 "publicity"(L 457, off 55) 
 "pulled"(L 853, off 36) 
 "punch"(L 618, off 39) 
 "punches"(L 619, off 24) 
 "punctured"(L 1025, off 62) 
 "punished"(L 484, off 39) 
 "punk's"(L 556, off 44) 
 "punk--I'm"(L 186, off 40) 
 "pupils"(L 894, off 4) 
 "pure"(L 1043, off 33) 
 "purpose"(L 1429, off 15) 
 "purpose--to"(L 1380, off 59) 
 "puzzled"(L 614, off 16) 
 "pyrotechnics"(L 1042, off 4) 
 "quacks"(L 570, off 35) 
 "quarter"(L 146, off 13) 
 "queried"(L 864, off 56) 
 "questioning"(L 482, off 18) 
 "quieted"(L 468, off 51) 
 "quite"(L 118, off 28) 
 "quivering"(L 649, off 0) 
 "quote"(L 583, off 30) 
 "radiographer"(L 836, off 0) 
 "radius"(L 909, off 32) 
 "rain"(L 1149, off 16) 
 "ran"(L 1025, off 19) 
 "ranged"(L 1335, off 9) 
 "rasp"(L 72, off 44) 
 "rationing"(L 388, off 28) 
 "reaches"(L 1274, off 30) 
 "reaching"(L 1676, off 37) 
 "really"(L 535, off 42) 
 "reason"(L 961, off 37) 
 "reasoning"(L 1297, off 3) 
 "rebelled"(L 497, off 15) 
 "receiving"(L 1629, off 49) 
 "recent"(L 842, off 22) 
 "recess"(L 1022, off 41) 
 "recessed"(L 106, off 56) 
 "recommended"(L 1106, off 19) 
 "recording"(L 1251, off 0) 
 "red"(L 784, off 67) 
 "redistribute"(L 1539, off 52) 
 "redistributing"(L 1521, off 0) 
 "redistribution"(L 1433, off 41) 
 "reduce"(L 648, off 52) 
 "reductive"(L 1067, off 18) 
 "reel"(L 442, off 18) 
 "reference"(L 1292, off 62) 
 "referring"(L 924, off 14) 
 "reflectively"(L 409, off 56) 
 "refuge"(L 1302, off 7) 
 "refutation"(L 1234, off 54) 
 "register"(L 1036, off 0) 
 "registers"(L 73, off 8) 
 "regular"(L 646, off 55) 
 "regulating"(L 1720, off 55) 
 "reinterpreted"(L 385, off 58) 
 "relating"(L 1035, off 38) 
 "relationship"(L 1357, off 40) 
 "release"(L 1361, off 16) 
 "releases"(L 1360, off 0) 
 "relief"(L 1165, off 0) 
 "relieved"(L 160, off 51) 
 "relieving"(L 1099, off 35) 
 "religions"(L 1080, off 17) 
 "remain"(L 1678, off 0) 
 "remained"(L 1000, off 0) 
 "remaining"(L 1653, off 0) 
 "remoteness"(L 581, off 11) 
 "removal"(L 906, off 48) 
 "remove"(L 1535, off 34) 
 "renamed"(L 1416, off 3) 
 "renewed"(L 49, off 52) 
 "repair"(L 755, off 3) 
 "repeated"(L 135, off 22) 
 "report"(L 864, off 8) 
 "reporter"(L 328, off 52) 
 "reports"(L 1429, off 61) 
 "representations"(L 1496, off 0) 
 "representing"(L 224, off 13) 
 "reproduction"(L 996, off 16) 
 "require"(L 1581, off 20) 
 "required"(L 1572, off 10) 
 "resembling"(L 1009, off 25) 
 "respects"(L 994, off 0) 
 "responsible"(L 480, off 26) 
 "rested"(L 289, off 23) 
 "resting"(L 1372, off 0) 
 "restoring"(L 1097, off 4) 
 "restraint"(L 694, off 59) 
 "result"(L 696, off 12) 
 "resulted"(L 753, off 39) 
 "results"(L 458, off 11) 
 "resurgent"(L 372, off 0) 
 "retire"(L 692, off 41) 
 "retiring"(L 220, off 19) 
 "retraced"(L 1283, off 3) 
 "retreat"(L 691, off 18) 
 "retrieved"(L 722, off 27) 
 "returned"(L 729, off 35) 
 "returns"(L 1572, off 49) 
 "reveals"(L 1103, off 0) 
 "reviewed"(L 1282, off 18) 
 "revised"(L 1345, off 12) 
 "ridges"(L 69, off 57) 
 "rim"(L 908, off 41) 
 "rippled"(L 1205, off 50) 
 "ripples"(L 560, off 28) 
 "rise"(L 1166, off 0) 
 "risk"(L 291, off 30) 
 "roads"(L 559, off 0) 
 "robbery"(L 377, off 62) 
 "robbing"(L 232, off 4) 
 "rocking"(L 89, off 23) 
 "routine"(L 1130, off 38) 
 "row"(L 344, off 14) 
 "royalty"(L 1565, off 12) 
 "rubbed"(L 821, off 12) 
 "ruled"(L 1068, off 10) 
 "rumor"(L 503, off 23) 
 "rumors"(L 568, off 17) 
 "sacrament'"
 "sag"(L 502, off 32) 
 "sagged"(L 1182, off 56) 
 "sagging"(L 78, off 58) 
 "said--'Law"(L 585, off 0) 
 "sales"(L 88, off 0) 
 "samples"(L 815, off 9) 
 "sawed-off"(L 176, off 24) 
 "says"(L 333, off 9) 
 "scars"(L 207, off 0) 
 "scattered"(L 1697, off 29) 
 "school-teacher"(L 893, off 25) 
 "scientific"(L 1009, off 9) 
 "scoop"(L 285, off 13) 
 "screen--the"(L 1166, off 59) 
 "scribbled"(L 341, off 37) 
 "sear"(L 1257, off 32) 
 "search"(L 1757, off 56) 
 "searching"(L 452, off 0) 
 "seat"(L 606, off 55) 
 "seated"(L 297, off 24) 
 "secure"(L 1679, off 63) 
 "security"(L 1262, off 0) 
 "seeing"(L 1387, off 53) 
 "seeks"(L 617, off 63) 
 "seems"(L 1111, off 22) 
 "seen"(L 648, off 0) 
 "seeped"(L 1150, off 0) 
 "seized"(L 1186, off 12) 
 "selected"(L 796, off 18) 
 "selection"(L 516, off 32) 
 "self-consciously"(L 299, off 0) 
 "semantic"(L 1335, off 43) 
 "sensation"(L 561, off 12) 
 "sensational"(L 1085, off 37) 
 "sense"(L 576, off 12) 
 "sensed"(L 1237, off 9) 
 "sensuous"(L 129, off 37) 
 "series"(L 1260, off 50) 
 "serious-minded"(L 393, off 32) 
 "seriously"(L 753, off 0) 
 "served"(L 1380, off 41) 
 "session"(L 878, off 24) 
 "seventeenth"(L 841, off 58) 
 "seventy-two"(L 876, off 0) 
 "shadow"(L 1370, off 55) 
 "shallow"(L 1163, off 55) 
 "shared"(L 1747, off 7) 
 "sharing"(L 1482, off 42) 
 "shattered"(L 1254, off 50) 
 "sheet"(L 714, off 57) 
 "shell"(L 1358, off 30) 
 "shifted"(L 1083, off 7) 
 "shirt"(L 1154, off 10) 
 "shootin'"
 "shooting"(L 232, off 23) 
 "shootings"(L 346, off 20) 
 "short"(L 878, off 47) 
 "shortness"(L 159, off 39) 
 "shotgun"(L 176, off 34) 
 "should--I"(L 316, off 23) 
 "shoulders"(L 988, off 35) 
