 "'AS-IS'" 1 
 "--Accident" 1 (L 9294, off 6) 
 "referring" 3 (L 1938, off 50) (L 7499, off 41) (L 8645, off 0) 
 "regarded" 3 (L 5049, off 13) (L 6453, off 55) (L 6956, off 3) 
 "registered" 3 (L 6602, off 55) (L 9627, off 46) (L 9664, off 30) 
 "relapsed" 3 (L 5167, off 19) (L 5390, off 21) (L 8707, off 8) 
 "relieved" 3 (L 3822, off 22) (L 4966, off 55) (L 6630, off 54) 
 "remainder" 3 (L 1217, off 20) (L 3305, off 0) (L 6565, off 53) 
 "remarkable" 3 (L 487, off 41) (L 7970, off 50) (L 8741, off 55) 
 "remarkably" 3 (L 2205, off 30) (L 5996, off 0) (L 8868, off 46) 
 "remarks" 3 (L 1272, off 0) (L 1294, off 40) (L 4853, off 17) 
 "replacement" 3 (L 9789, off 33) (L 9836, off 47) (L 9843, off 39) 
 "replacing" 3 (L 2398, off 21) (L 6541, off 47) (L 7306, off 41) 
 "report" 3 (L 7472, off 57) (L 7531, off 37) (L 8738, off 26) 
 "respective" 3 (L 190, off 45) (L 9328, off 45) (L 9433, off 45) 
 "results" 3 (L 1822, off 4) (L 2161, off 0) (L 6016, off 14) 
 "retrieved" 3 (L 506, off 0) (L 2744, off 0) (L 5920, off 28) 
 "riding" 3 (L 7325, off 24) (L 8604, off 40) (L 8622, off 39) 
 "rise" 3 (L 4609, off 51) (L 5181, off 53) (L 5939, off 51) 
 "risen" 3 (L 365, off 49) (L 3622, off 31) (L 4524, off 41) 
 "root" 3 (L 725, off 53) (L 3282, off 50) (L 3523, off 59) 
 "rule" 3 (L 2518, off 32) (L 2521, off 22) (L 2620, off 7) 
 "rules" 3 (L 7619, off 20) (L 9624, off 19) (L 9630, off 26) 
 "safer" 3 (L 2403, off 0) (L 6586, off 22) (L 6628, off 0) 
 "sailed" 3 (L 5918, off 62) (L 7008, off 0) (L 8269, off 49) 
 "sarcastically" 3 (L 424, off 20) (L 1207, off 21) (L 4848, off 43) 
 "scare" 3 (L 3835, off 9) (L 5020, off 23) (L 5425, off 57) 
 "scheme" 3 (L 4484, off 18) (L 4484, off 40) (L 6384, off 9) 
 "schoolhouse" 3 (L 1216, off 25) (L 4697, off 42) (L 4955, off 48) 
 "scored" 3 (L 1469, off 11) (L 2897, off 51) (L 8439, off 0) 
 "secured" 3 (L 985, off 10) (L 8028, off 13) (L 8562, off 41) 
 "seeming" 3 (L 809, off 48) (L 7100, off 32) (L 8003, off 7) 
 "semipro" 3 (L 6238, off 61) (L 8432, off 49) (L 8785, off 40) 
 "sending" 3 (L 1505, off 37) (L 8442, off 46) (L 9832, off 58) 
 "settles" 3 (L 1136, off 5) (L 5082, off 14) (L 8360, off 6) 
 "shadow" 3 (L 3637, off 23) (L 3738, off 4) (L 4128, off 30) 
 "shall" 3 (L 7594, off 57) (L 9852, off 10) (L 9854, off 52) 
 "shift" 3 (L 5824, off 55) (L 5826, off 52) (L 7621, off 21) 
 "shock" 3 (L 367, off 7) (L 5445, off 38) (L 7937, off 35) 
 "shoes" 3 (L 6442, off 61) (L 6460, off 33) (L 7075, off 56) 
 "shouting" 3 (L 313, off 46) (L 5882, off 35) (L 6020, off 2) 
 "shove" 3 (L 4198, off 0) (L 5300, off 18) (L 6627, off 19) 
 "shrilled" 3 (L 928, off 7) (L 4813, off 19) (L 5927, off 40) 
 "sides" 3 (L 3046, off 44) (L 6490, off 27) (L 7029, off 58) 
 "signaled" 3 (L 2701, off 55) (L 2833, off 51) (L 8208, off 6) 
 "signed" 3 (L 2563, off 55) (L 2572, off 31) (L 2659, off 32) 
 "sit" 3 (L 4291, off 68) (L 7594, off 63) (L 8120, off 5) 
 "sixth" 3 (L 3039, off 11) (L 5730, off 29) (L 8186, off 15) 
 "slapped" 3 (L 2799, off 61) (L 2920, off 31) (L 7008, off 21) 
 "slept" 3 (L 2601, off 15) (L 4567, off 8) (L 4833, off 8) 
 "slightly" 3 (L 1813, off 12) (L 6463, off 26) (L 7468, off 0) 
 "slouched" 3 (L 2901, off 60) (L 4132, off 41) (L 4670, off 37) 
 "smashed" 3 (L 426, off 14) (L 5661, off 24) (L 7007, off 20) 
 "soul" 3 (L 2274, off 28) (L 4641, off 41) (L 6379, off 64) 
 "speak" 3 (L 1377, off 30) (L 5079, off 25) (L 7732, off 36) 
 "spectators" 3 (L 885, off 9) (L 932, off 10) (L 1093, off 26) 
 "speech" 3 (L 722, off 40) (L 763, off 22) (L 1649, off 5) 
 "spelled" 3 (L 278, off 35) (L 588, off 45) (L 4187, off 0) 
 "spikes" 3 (L 1760, off 53) (L 2065, off 44) (L 3060, off 14) 
 "spite" 3 (L 769, off 44) (L 4821, off 44) (L 8528, off 3) 
 "stamped" 3 (L 4253, off 22) (L 5565, off 62) (L 6458, off 53) 
 "star" 3 (L 625, off 49) (L 1303, off 18) (L 1723, off 38) 
 "stating" 3 (L 496, off 8) (L 1807, off 58) (L 6606, off 16) 
 "steal" 3 (L 3011, off 42) (L 3021, off 10) (L 7801, off 28) 
 "stick" 3 (L 2858, off 11) (L 6368, off 37) (L 7183, off 0) 
 "stolen" 3 (L 3098, off 21) (L 7582, off 0) (L 8723, off 31) 
 "stopping" 3 (L 4645, off 16) (L 6159, off 48) (L 7325, off 37) 
 "straighten" 3 (L 1455, off 55) (L 6987, off 55) (L 7061, off 60) 
 "straw" 3 (L 1091, off 59) (L 1498, off 31) (L 6505, off 19) 
 "strikes" 3 (L 1070, off 0) (L 7941, off 29) (L 8013, off 0) 
 "striking" 3 (L 692, off 36) (L 4328, off 6) (L 8042, off 59) 
 "string" 3 (L 5396, off 61) (L 5411, off 37) (L 6366, off 30) 
 "substitute" 3 (L 5801, off 23) (L 6918, off 0) (L 7666, off 60) 
 "sufferers" 3 (L 1204, off 58) (L 1208, off 14) (L 1242, off 6) 
 "suh" 3 (L 4819, off 33) (L 4824, off 6) (L 4829, off 44) 
 "supposing" 3 (L 770, off 30) (L 1454, off 23) (L 7275, off 25) 
 "suspected" 3 (L 4887, off 60) (L 8765, off 6) (L 8768, off 6) 
 "suspicion" 3 (L 4136, off 20) (L 8737, off 10) (L 8842, off 31) 
 "suspiciously" 3 (L 1587, off 51) (L 6752, off 9) (L 7201, off 31) 
 "swear" 3 (L 7409, off 9) (L 7765, off 12) (L 7769, off 63) 
 "swept" 3 (L 5753, off 7) (L 5824, off 25) (L 6852, off 64) 
 "swimming" 3 (L 964, off 61) (L 973, off 22) (L 1013, off 61) 
 "swinging" 3 (L 5403, off 58) (L 8317, off 0) (L 8371, off 22) 
 "switched" 3 (L 6877, off 54) (L 7666, off 37) (L 8018, off 5) 
 "takes" 3 (L 2164, off 11) (L 2608, off 15) (L 9927, off 55) 
 "talent" 3 (L 1556, off 56) (L 2028, off 52) (L 2533, off 37) 
 "taps" 3 (L 3776, off 0) (L 6608, off 61) (L 7509, off 61) 
 "terribly" 3 (L 2168, off 61) (L 5283, off 0) (L 7492, off 38) 
 "terrific" 3 (L 1725, off 29) (L 7716, off 45) (L 7992, off 17) 
 "thoughtful" 3 (L 616, off 37) (L 1172, off 47) (L 7795, off 44) 
 "threatening" 3 (L 311, off 32) (L 728, off 37) (L 8364, off 19) 
 "tightwad" 3 (L 6268, off 62) (L 6396, off 26) (L 6558, off 0) 
 "to----" 3 
 "toady" 3 (L 1283, off 37) (L 3439, off 40) (L 7033, off 21) 
 "tongue" 3 (L 286, off 40) (L 1042, off 46) (L 7296, off 34) 
 "top" 3 (L 4054, off 7) (L 4849, off 42) (L 5287, off 64) 
 "touch" 3 (L 5291, off 15) (L 6256, off 41) (L 8212, off 62) 
 "tough" 3 (L 1823, off 49) (L 1838, off 13) (L 2252, off 17) 
 "trail" 3 (L 4979, off 45) (L 5148, off 64) (L 5219, off 63) 
 "transportation" 3 (L 192, off 34) (L 9330, off 34) (L 9435, off 34) 
 "trick" 3 (L 887, off 24) (L 1083, off 0) (L 3952, off 0) 
 "trounced" 3 (L 1396, off 41) (L 2444, off 26) (L 6240, off 5) 
 "truckle" 3 (L 1315, off 40) (L 3421, off 0) (L 6702, off 38) 
 "twenty" 3 (L 1017, off 6) (L 3896, off 21) (L 5870, off 22) 
 "twist" 3 (L 5259, off 30) (L 5357, off 33) (L 5363, off 13) 
 "underneath" 3 (L 2432, off 41) (L 5609, off 21) (L 6552, off 26) 
 "understood" 3 (L 1585, off 36) (L 3114, off 14) (L 7003, off 4) 
 "underwear" 3 (L 753, off 0) (L 4332, off 43) (L 4837, off 0) 
 "unknown" 3 (L 7460, off 53) (L 7468, off 34) (L 7675, off 3) 
 "unwound" 3 (L 2947, off 32) (L 3014, off 10) (L 8386, off 20) 
 "user" 3 (L 9754, off 7) (L 9780, off 51) (L 9783, off 35) 
 "version" 3 (L 1096, off 23) (L 6712, off 40) (L 9752, off 0) 
 "view" 3 (L 363, off 6) (L 4548, off 24) (L 7051, off 23) 
 "vigorously" 3 (L 1383, off 0) (L 2043, off 0) (L 4237, off 29) 
 "volunteered" 3 (L 1801, off 26) (L 2265, off 42) (L 7569, off 37) 
 "wake" 3 (L 2785, off 25) (L 4268, off 67) (L 6834, off 40) 
 "walking" 3 (L 2150, off 53) (L 2861, off 40) (L 8358, off 14) 
 "weak" 3 (L 1827, off 37) (L 2975, off 26) (L 3020, off 32) 
 "wheels" 3 (L 3432, off 64) (L 6552, off 19) (L 6769, off 61) 
 "whip" 3 (L 446, off 56) (L 1966, off 16) (L 7710, off 57) 
 "white-faced" 3 (L 5825, off 27) (L 7376, off 24) (L 8808, off 0) 
 "whoop" 3 (L 4987, off 19) (L 6192, off 26) (L 7062, off 51) 
 "wildly" 3 (L 928, off 37) (L 5493, off 27) (L 7167, off 13) 
 "wind-up" 3 (L 7753, off 15) (L 7769, off 31) (L 7814, off 4) 
 "windows" 3 (L 3628, off 44) (L 4499, off 42) (L 5626, off 25) 
 "wiry" 3 (L 2725, off 51) (L 7716, off 9) (L 7915, off 14) 
 "wondering" 3 (L 1995, off 0) (L 2533, off 14) (L 8294, off 0) 
 "wore" 3 (L 372, off 23) (L 2187, off 13) (L 6216, off 0) 
 "worrying" 3 (L 1989, off 0) (L 4919, off 17) (L 5140, off 35) 
 "wrathfully" 3 (L 2868, off 26) (L 3638, off 0) (L 8492, off 37) 
 "wrists" 3 (L 5407, off 9) (L 5666, off 54) (L 5671, off 58) 
 "--At" 4 (L 9032, off 5) (L 9076, off 6) (L 9103, off 6) (L 9229, off 6) 
 "--For" 4 (L 9009, off 5) (L 9341, off 6) (L 9491, off 5) (L 9551, off 5) 
 "About" 4 (L 4704, off 1) (L 4943, off 1) (L 6688, off 1) (L 9948, off 31) 
 "Alger" 4 (L 9367, off 0) (L 9373, off 63) (L 9376, off 8) (L 9387, off 46) 
 "Although" 4 (L 512, off 17) (L 2841, off 30) (L 7610, off 0) (L 8632, off 63) 
 "Amateur" 4 (L 610, off 0) (L 1572, off 17) (L 6144, off 4) (L 7610, off 47) 
 "Ask" 4 (L 1467, off 0) (L 1467, off 49) (L 4515, off 1) (L 7019, off 6) 
 "Auto" 4 (L 4936, off 1) (L 9217, off 22) (L 9346, off 23) (L 9558, off 12) 
 "Because" 4 (L 5006, off 1) (L 5106, off 1) (L 6754, off 1) (L 8140, off 1) 
 "Bil-l-ly" 4 (L 745, off 17) (L 799, off 21) (L 955, off 38) (L 1496, off 0) 
 "Black" 4 (L 124, off 24) (L 4521, off 1) (L 9096, off 19) (L 9264, off 28) 
 "CARSON" 4 (L 260, off 19) (L 952, off 20) (L 2174, off 20) (L 6085, off 11) 
 "COLONEL" 4 (L 260, off 11) (L 952, off 12) (L 2174, off 12) (L 6085, off 3) 
 "Call" 4 (L 122, off 30) (L 864, off 1) (L 9121, off 28) (L 9325, off 10) 
 "Consequently" 4 (L 2031, off 0) (L 5259, off 0) (L 6457, off 0) (L 7344, off 0) 
 "Could" 4 (L 901, off 19) (L 7331, off 39) (L 7599, off 45) (L 7800, off 62) 
 "Dead" 4 (L 2361, off 1) (L 3877, off 1) (L 9050, off 9) (L 9200, off 12) 
 "Dot" 4 (L 3508, off 25) (L 6183, off 1) (L 7943, off 45) (L 8090, off 37) 
 "Double" 4 (L 9028, off 11) (L 9037, off 19) (L 9236, off 22) (L 9286, off 10) 
 "Fair" 4 (L 145, off 36) (L 1606, off 1) (L 5925, off 22) (L 9020, off 9) 
 "Finally" 4 (L 2330, off 23) (L 4919, off 38) (L 5458, off 62) (L 7705, off 0) 
 "Four" 4 (L 5923, off 1) (L 8242, off 1) (L 9231, off 12) (L 9345, off 12) 
 "Girl" 4 (L 8976, off 11) (L 9180, off 12) (L 9240, off 22) (L 9311, off 27) 
 "Going" 4 (L 3263, off 44) (L 4700, off 15) (L 6333, off 0) (L 7578, off 0) 
 "Got" 4 (L 603, off 1) (L 892, off 1) (L 1594, off 29) (L 1633, off 64) 
 "Hotel" 4 (L 3759, off 22) (L 6576, off 19) (L 6602, off 45) (L 7458, off 25) 
 "King" 4 (L 153, off 29) (L 9122, off 27) (L 9310, off 12) (L 9319, off 23) 
 "Luck" 4 (L 8779, off 24) (L 9408, off 12) (L 9508, off 17) (L 9561, off 11) 
 "Many" 4 (L 8978, off 25) (L 8989, off 18) (L 8998, off 19) (L 9921, off 49) 
 "McQuades" 4 (L 399, off 51) (L 668, off 47) (L 1189, off 60) (L 1999, off 27) 
 "Meantime" 4 (L 2495, off 55) (L 4011, off 0) (L 5268, off 0) (L 7086, off 0) 
 "Merriwells" 4 (L 3728, off 59) (L 3820, off 0) (L 3994, off 4) (L 6223, off 40) 
 "Most" 4 (L 7534, off 1) (L 7686, off 43) (L 9371, off 4) (L 9962, off 0) 
 "Mother" 4 (L 533, off 65) (L 559, off 10) (L 565, off 55) (L 573, off 8) 
 "Much" 4 (L 1523, off 1) (L 4522, off 10) (L 4726, off 55) (L 6631, off 1) 
 "Mysterious" 4 (L 9018, off 11) (L 9194, off 10) (L 9219, off 10) (L 9314, off 12) 
 "Nick" 4 (L 8942, off 0) (L 8953, off 32) (L 8958, off 19) (L 9186, off 13) 
 "Nonsense" 4 (L 3335, off 10) (L 4116, off 1) (L 4299, off 49) (L 6044, off 1) 
 "October" 4 (L 15, off 14) (L 210, off 19) (L 9348, off 19) (L 9452, off 19) 
 "PRINT" 4 (L 9470, off 7) 
 "PROJECT" 4 (L 21, off 18) (L 9608, off 16) (L 9626, off 45) (L 9639, off 9) 
 "Poor" 4 (L 2361, off 60) (L 5538, off 56) (L 6505, off 26) (L 7573, off 0) 
 "Price" 4 (L 9029, off 18) (L 9127, off 12) (L 9204, off 12) (L 9272, off 24) 
 "Race" 4 (L 141, off 24) (L 9086, off 19) (L 9148, off 10) (L 9161, off 10) 
 "SMITH" 4 (L 238, off 11) (L 245, off 14) (L 9572, off 9) (L 9584, off 18) 
 "STREET" 4 (L 238, off 2) (L 245, off 5) (L 9572, off 0) (L 9584, off 9) 
 "Scott" 4 (L 4831, off 57) (L 5872, off 7) (L 7924, off 7) (L 8849, off 7) 
 "Seeing" 4 (L 755, off 0) (L 1519, off 26) (L 7877, off 58) (L 7990, off 15) 
 "She" 4 (L 675, off 35) (L 676, off 47) (L 679, off 56) (L 4289, off 58) 
 "Sit" 4 (L 5278, off 32) (L 6981, off 1) (L 7178, off 1) (L 7178, off 34) 
 "Stolen" 4 (L 8992, off 11) (L 9044, off 9) (L 9054, off 11) (L 9086, off 12) 
 "Talk" 4 (L 2042, off 1) (L 6186, off 1) (L 6364, off 40) (L 8974, off 19) 
 "Therefore" 4 (L 6375, off 23) (L 6959, off 42) (L 8527, off 56) (L 8531, off 0) 
 "Uncle" 4 (L 4091, off 46) (L 4674, off 51) (L 5689, off 13) (L 6966, off 15) 
 "Vot" 4 (L 3634, off 1) (L 8390, off 1) (L 8408, off 1) (L 8477, off 33) 
 "WORK" 4 (L 1934, off 30) (L 5482, off 20) (L 6653, off 22) (L 9640, off 51) 
 "Wire" 4 (L 6083, off 49) (L 6096, off 54) (L 9207, off 26) (L 9355, off 15) 
 "Work" 4 (L 116, off 29) (L 165, off 34) (L 197, off 36) (L 6366, off 17) 
 "World" 4 (L 8995, off 18) (L 8996, off 28) (L 9413, off 15) (L 9466, off 17) 
 "a-goin" 4 (L 3887, off 14) (L 3914, off 26) (L 4457, off 19) (L 5344, off 41) 
 "abrupt" 4 (L 3300, off 4) (L 4154, off 0) (L 5576, off 40) (L 7937, off 28) 
 "academy" 4 (L 736, off 0) (L 3784, off 51) (L 6289, off 17) (L 6608, off 4) 
 "according" 4 (L 3343, off 12) (L 5196, off 60) (L 6797, off 39) (L 7800, off 35) 
 "acted" 4 (L 4273, off 65) (L 4810, off 39) (L 6942, off 36) (L 7060, off 55) 
 "action" 4 (L 1237, off 45) (L 5842, off 49) (L 8062, off 4) (L 8434, off 16) 
 "advantage" 4 (L 2350, off 61) (L 4192, off 58) (L 7345, off 0) (L 8412, off 55) 
 "afford" 4 (L 1745, off 26) (L 4286, off 33) (L 6455, off 14) (L 6950, off 41) 
 "ago" 4 (L 1091, off 26) (L 1159, off 32) (L 2547, off 12) (L 9377, off 47) 
 "allow" 4 (L 1283, off 55) (L 7435, off 34) (L 7500, off 0) (L 9848, off 26) 
 "amateur" 4 (L 627, off 29) (L 6103, off 12) (L 7259, off 47) (L 7917, off 0) 
 "amazing" 4 (L 4195, off 16) (L 6516, off 36) (L 6812, off 5) (L 8459, off 25) 
 "amount" 4 (L 1179, off 42) (L 5147, off 62) (L 6255, off 50) (L 7797, off 59) 
 "angle" 4 (L 916, off 21) (L 3614, off 0) (L 4167, off 13) (L 6728, off 28) 
 "apparently" 4 (L 1725, off 52) (L 4560, off 10) (L 7235, off 33) (L 8006, off 23) 
 "appreciate" 4 (L 543, off 35) (L 867, off 17) (L 4117, off 0) (L 8302, off 25) 
 "arrival" 4 (L 1293, off 21) (L 3765, off 17) (L 5952, off 25) (L 6606, off 4) 
 "asleep" 4 (L 4608, off 56) (L 4881, off 37) (L 5559, off 13) (L 7473, off 30) 
 "aspect" 4 (L 795, off 36) (L 1650, off 31) (L 1726, off 8) (L 5172, off 43) 
 "attempted" 4 (L 4229, off 0) (L 6729, off 36) (L 7194, off 0) (L 7763, off 55) 
 "balance" 4 (L 912, off 48) (L 6178, off 0) (L 7891, off 50) (L 8129, off 18) 
 "battle" 4 (L 1438, off 50) (L 1489, off 4) (L 4194, off 0) (L 4220, off 46) 
 "beard" 4 (L 2207, off 53) (L 2594, off 47) (L 3157, off 27) (L 4621, off 25) 
 "bell" 4 (L 4796, off 7) (L 4810, off 63) (L 6770, off 7) (L 7823, off 7) 
 "bench" 4 (L 2582, off 34) (L 2930, off 0) (L 7998, off 24) (L 8481, off 0) 
 "bills" 4 (L 6406, off 0) (L 6530, off 54) (L 6555, off 35) (L 7464, off 26) 
 "bite" 4 (L 1827, off 61) (L 2317, off 11) (L 2811, off 16) (L 7881, off 14) 
 "bitterness" 4 (L 3735, off 0) (L 6724, off 26) (L 6751, off 44) (L 6852, off 53) 
 "book" 4 (L 2211, off 12) (L 2212, off 36) (L 2398, off 40) (L 6804, off 58) 
 "bore" 4 (L 3757, off 53) (L 4007, off 46) (L 4252, off 30) (L 7173, off 56) 
 "bright" 4 (L 991, off 20) (L 3688, off 27) (L 5717, off 45) (L 6927, off 28) 
 "burg" 4 (L 468, off 39) (L 603, off 64) (L 2305, off 57) (L 4110, off 16) 
 "buy" 4 (L 627, off 57) (L 6479, off 19) (L 6528, off 38) (L 8958, off 32) 
 "card" 4 (L 7608, off 52) (L 7625, off 32) (L 7627, off 65) (L 9945, off 50) 
 "cast" 4 (L 459, off 6) (L 591, off 55) (L 5959, off 54) (L 8829, off 0) 
 "cent" 4 (L 4989, off 48) (L 6360, off 67) (L 6414, off 20) (L 6561, off 17) 
 "cents" 4 (L 775, off 10) (L 5011, off 0) (L 6269, off 45) (L 6285, off 8) 
 "character" 4 (L 6468, off 21) (L 6470, off 34) (L 6798, off 8) (L 7432, off 10) 
 "chauffeur" 4 (L 4765, off 36) (L 5649, off 30) (L 5690, off 38) (L 5695, off 4) 
 "check" 4 (L 8, off 3) (L 9694, off 0) (L 9715, off 32) (L 9943, off 7) 
 "cheeks" 4 (L 444, off 17) (L 1919, off 41) (L 7026, off 60) (L 7488, off 18) 
 "chip" 4 (L 409, off 65) (L 3338, off 33) (L 6964, off 65) (L 7700, off 20) 
 "circumstances" 4 (L 419, off 50) (L 1402, off 36) (L 3227, off 18) (L 7448, off 0) 
 "city" 4 (L 543, off 16) (L 1044, off 0) (L 1052, off 65) (L 1264, off 50) 
 "climb" 4 (L 445, off 63) (L 4822, off 10) (L 4906, off 31) (L 5581, off 18) 
 "climbed" 4 (L 4910, off 55) (L 5369, off 7) (L 5530, off 0) (L 6436, off 13) 
 "coin" 4 (L 1925, off 56) (L 1983, off 28) (L 2271, off 20) (L 6277, off 0) 
 "collection" 4 (L 9675, off 59) (L 9677, off 13) (L 9808, off 13) (L 9879, off 49) 
 "compliance" 4 (L 9685, off 9) (L 9930, off 51) (L 9931, off 37) (L 9959, off 27) 
 "condition" 4 (L 2488, off 27) (L 5404, off 54) (L 6723, off 0) (L 8724, off 11) 
 "connect" 4 (L 2137, off 0) (L 3012, off 6) (L 6299, off 27) (L 7912, off 16) 
 "conscious" 4 (L 6599, off 47) (L 6785, off 36) (L 8633, off 47) (L 8690, off 55) 
 "consider" 4 (L 2000, off 61) (L 6022, off 3) (L 6502, off 42) (L 8869, off 62) 
 "contact" 4 (L 9904, off 43) (L 9905, off 5) (L 9906, off 35) (L 9908, off 15) 
 "conversation" 4 (L 4959, off 31) (L 6489, off 30) (L 6521, off 14) (L 7775, off 15) 
 "copying" 4 (L 9625, off 26) (L 9680, off 34) (L 9695, off 30) (L 9760, off 12) 
 "correct" 4 (L 425, off 22) (L 5371, off 16) (L 7304, off 33) (L 7475, off 25) 
 "covered" 4 (L 1221, off 40) (L 2108, off 16) (L 2696, off 27) (L 5570, off 18) 
 "cowardly" 4 (L 4204, off 19) (L 4246, off 24) (L 4300, off 12) (L 8846, off 31) 
 "cracked" 4 (L 3142, off 57) (L 4180, off 48) (L 5793, off 45) (L 8021, off 24) 
 "crowding" 4 (L 1427, off 31) (L 1499, off 37) (L 2872, off 53) (L 4178, off 11) 
 "cunning" 4 (L 4626, off 35) (L 6374, off 31) (L 6851, off 12) (L 7336, off 34) 
 "curve" 4 (L 288, off 12) (L 335, off 58) (L 459, off 66) (L 8051, off 64) 
 "curves" 4 (L 1309, off 34) (L 5735, off 14) (L 7912, off 41) (L 7989, off 4) 
 "cussed" 4 (L 1353, off 4) (L 3924, off 5) (L 4478, off 5) (L 7206, off 14) 
 "damage" 4 (L 390, off 36) (L 398, off 9) (L 425, off 46) (L 9813, off 55) 
 "darted" 4 (L 2798, off 46) (L 3755, off 46) (L 5709, off 17) (L 7728, off 64) 
 "dashed" 4 (L 351, off 35) (L 2818, off 35) (L 3470, off 0) (L 5655, off 63) 
 "demoralized" 4 (L 2893, off 0) (L 2929, off 46) (L 4224, off 8) (L 5914, off 0) 
 "departed" 4 (L 1063, off 37) (L 6200, off 7) (L 7546, off 0) (L 7598, off 16) 
 "departure" 4 (L 1671, off 60) (L 3300, off 11) (L 3917, off 28) (L 7497, off 10) 
 "depends" 4 (L 3412, off 58) (L 4462, off 6) (L 6361, off 47) (L 9917, off 21) 
 "derisively" 4 (L 2184, off 39) (L 2638, off 55) (L 6171, off 20) (L 7669, off 31) 
 "desperation" 4 (L 5765, off 51) (L 8018, off 23) (L 8062, off 15) (L 8294, off 10) 
 "detective" 4 (L 8942, off 38) (L 8950, off 52) (L 8955, off 42) (L 9581, off 39) 
 "disappeared" 4 (L 3528, off 12) (L 4228, off 29) (L 4794, off 58) (L 8771, off 7) 
 "displayed" 4 (L 1736, off 46) (L 1738, off 47) (L 2299, off 62) (L 9707, off 55) 
 "displaying" 4 (L 9681, off 0) (L 9695, off 39) (L 9743, off 12) (L 9759, off 51) 
 "distributed" 4 (L 9708, off 29) (L 9721, off 46) (L 9920, off 7) (L 9953, off 0) 
 "dood" 4 (L 8058, off 9) (L 8091, off 52) (L 8133, off 8) (L 8378, off 46) 
 "doped" 4 (L 6801, off 42) (L 6842, off 27) (L 8808, off 29) (L 8843, off 22) 
 "dot" 4 (L 5784, off 56) (L 7943, off 15) (L 8408, off 9) (L 8472, off 53) 
 "dragged" 4 (L 632, off 43) (L 3092, off 17) (L 4231, off 37) (L 5486, off 0) 
 "dress" 4 (L 835, off 29) (L 2505, off 0) (L 4354, off 12) (L 4864, off 14) 
 "drifted" 4 (L 932, off 21) (L 1074, off 8) (L 2330, off 34) (L 4563, off 0) 
 "ear" 4 (L 916, off 48) (L 2071, off 4) (L 4569, off 24) (L 5609, off 36) 
 "earnestly" 4 (L 2159, off 22) (L 5112, off 25) (L 7049, off 8) (L 8896, off 41) 
 "editions" 4 (L 9617, off 8) (L 9617, off 56) (L 9620, off 30) (L 9957, off 0) 
 "eighth" 4 (L 3040, off 0) (L 5725, off 15) (L 5742, off 4) (L 8275, off 51) 
 "enter" 4 (L 1051, off 16) (L 3497, off 41) (L 7350, off 16) (L 7483, off 12) 
 "entire" 4 (L 2020, off 13) (L 2102, off 58) (L 3117, off 63) (L 7586, off 55) 
 "erect" 4 (L 313, off 23) (L 2509, off 11) (L 5270, off 38) (L 7487, off 62) 
 "examined" 4 (L 429, off 30) (L 4391, off 0) (L 5603, off 34) (L 8680, off 6) 
 "expecting" 4 (L 1918, off 19) (L 4707, off 38) (L 4743, off 9) (L 5042, off 45) 
 "eying" 4 (L 392, off 62) (L 1718, off 30) (L 7092, off 0) (L 7188, off 39) 
 "fallen" 4 (L 521, off 4) (L 4036, off 48) (L 5559, off 0) (L 5613, off 15) 
 "fancied" 4 (L 6662, off 24) (L 6851, off 50) (L 7054, off 58) (L 7175, off 20) 
 "fancy" 4 (L 1871, off 57) (L 5383, off 38) (L 5971, off 34) (L 6298, off 30) 
 "farmhouse" 4 (L 5186, off 23) (L 5457, off 4) (L 5543, off 26) (L 5660, off 0) 
 "fault" 4 (L 380, off 20) (L 3331, off 39) (L 5616, off 13) (L 6593, off 7) 
 "favor" 4 (L 5726, off 0) (L 7532, off 59) (L 8276, off 27) (L 8904, off 64) 
 "fears" 4 (L 986, off 61) (L 2454, off 30) (L 4892, off 7) (L 6317, off 3) 
 "fees" 4 (L 9722, off 37) (L 9822, off 0) (L 9863, off 16) (L 9928, off 45) 
 "finish" 4 (L 4086, off 15) (L 7820, off 25) (L 8572, off 44) (L 8774, off 18) 
 "five" 4 (L 1103, off 25) (L 4336, off 16) (L 4609, off 16) (L 4998, off 54) 
 "forcing" 4 (L 1488, off 64) (L 2874, off 43) (L 6741, off 16) (L 8194, off 60) 
 "format" 4 (L 9688, off 5) (L 9750, off 60) (L 9751, off 42) (L 9756, off 44) 
 "frantic" 4 (L 3698, off 16) (L 8015, off 50) (L 8448, off 0) (L 8485, off 47) 
 "frantically" 4 (L 293, off 59) (L 3247, off 0) (L 5499, off 31) (L 7866, off 55) 
 "freely" 4 (L 9684, off 35) (L 9880, off 7) (L 9920, off 0) (L 9952, off 0) 
 "future" 4 (L 3488, off 28) (L 9671, off 33) (L 9882, off 14) (L 9882, off 50) 
 "gamble" 4 (L 1598, off 43) (L 3175, off 49) (L 3183, off 0) (L 6227, off 26) 
 "gang" 4 (L 1464, off 25) (L 1520, off 36) (L 4071, off 65) (L 4159, off 15) 
 "gasp" 4 (L 3110, off 39) (L 7156, off 30) (L 7712, off 58) (L 8329, off 27) 
 "gathering" 4 (L 840, off 10) (L 1728, off 29) (L 1835, off 3) (L 3632, off 56) 
 "gay" 4 (L 432, off 17) (L 889, off 68) (L 1750, off 37) (L 5159, off 7) 
