 "'AS-IS'"
 "ACTUAL"(L 5115, off 18) 
 "trap"(L 494, off 57) (L 2702, off 10) (L 3942, off 25) (L 4092, off 44) (L 4142, off 34) 
 "trunk"(L 1548, off 61) (L 2793, off 20) (L 2797, off 28) (L 2823, off 24) (L 2896, off 25) 
 "tumbled"(L 446, off 28) (L 1041, off 64) (L 1506, off 27) (L 1724, off 30) (L 3989, off 52) 
 "using"(L 4408, off 56) (L 4937, off 37) (L 4947, off 20) (L 4951, off 44) (L 5057, off 54) 
 "vast"(L 195, off 0) (L 965, off 63) (L 4561, off 27) (L 4682, off 31) (L 4683, off 33) 
 "volunteers"(L 5094, off 26) (L 5148, off 29) (L 5162, off 38) (L 5165, off 44) (L 5189, off 31) 
 "wander"(L 167, off 44) (L 1593, off 61) (L 1854, off 47) (L 2862, off 49) (L 3773, off 20) 
 "warned"(L 432, off 39) (L 2076, off 50) (L 2555, off 20) (L 2612, off 40) (L 3643, off 20) 
 "warningly"(L 2228, off 34) (L 2295, off 31) (L 2847, off 17) (L 3644, off 48) (L 4149, off 56) 
 "wary"(L 460, off 7) (L 1230, off 35) (L 2147, off 22) (L 2621, off 35) (L 4041, off 0) 
 "washes"(L 719, off 0) (L 938, off 19) (L 1126, off 57) (L 1302, off 27) (L 1341, off 33) 
 "whinnying"(L 611, off 41) (L 1105, off 9) (L 1629, off 30) (L 3012, off 43) (L 3123, off 45) 
 "whole"(L 849, off 42) (L 2171, off 15) (L 2348, off 20) (L 3294, off 37) (L 4346, off 26) 
 "window"(L 1187, off 41) (L 1196, off 0) (L 2664, off 14) (L 4409, off 64) (L 4415, off 48) 
 "winds"(L 1996, off 50) (L 2639, off 57) (L 3269, off 55) (L 3340, off 7) (L 3430, off 44) 
 "wobbly"(L 273, off 6) (L 1525, off 0) (L 1529, off 23) (L 1562, off 64) (L 1610, off 4) 
 "women"(L 728, off 0) (L 729, off 29) (L 921, off 32) (L 1157, off 54) (L 1159, off 31) 
 "wood"(L 625, off 60) (L 1692, off 20) (L 1734, off 43) (L 2798, off 15) (L 4501, off 11) 
 "worried"(L 1652, off 59) (L 2908, off 0) (L 3967, off 14) (L 4525, off 14) (L 4557, off 30) 
 "wound"(L 874, off 13) (L 2182, off 17) (L 3389, off 9) (L 3605, off 58) (L 4343, off 38) 
 "writing"(L 4621, off 19) (L 4674, off 32) (L 5070, off 12) (L 5087, off 55) (L 5129, off 46) 
 "yet"(L 613, off 29) (L 965, off 54) (L 3474, off 33) (L 3570, off 55) (L 4464, off 51) 
 "Another"(L 1117, off 13) (L 2194, off 6) (L 2375, off 59) (L 2823, off 46) (L 2836, off 24) (L 3937, off 47) 
 "Both"(L 1723, off 0) (L 2078, off 13) (L 2469, off 34) (L 2491, off 10) (L 2517, off 18) (L 4722, off 67) 
 "Chock"(L 211, off 1) (L 211, off 8) (L 211, off 15) (L 4824, off 1) (L 4824, off 8) (L 4824, off 15) 
 "Even"(L 986, off 20) (L 1549, off 10) (L 1661, off 48) (L 4364, off 14) (L 4755, off 19) (L 4798, off 14) 
 "Every"(L 208, off 21) (L 772, off 39) (L 1700, off 13) (L 2176, off 54) (L 3312, off 40) (L 3390, off 12) 
 "Here"(L 519, off 26) (L 548, off 33) (L 604, off 0) (L 654, off 15) (L 2291, off 46) (L 3999, off 62) 
 "Indian"(L 915, off 25) (L 982, off 0) (L 2025, off 24) (L 2077, off 18) (L 3259, off 35) (L 4759, off 0) 
 "Many"(L 182, off 0) (L 1053, off 17) (L 1951, off 0) (L 3979, off 54) (L 4589, off 0) (L 5209, off 50) 
 "Out"(L 165, off 0) (L 426, off 8) (L 607, off 13) (L 1068, off 61) (L 2393, off 0) (L 4823, off 0) 
 "What"(L 339, off 1) (L 816, off 53) (L 2926, off 1) (L 4007, off 1) (L 4614, off 1) (L 4616, off 1) 
 "YOU"(L 4934, off 24) (L 5111, off 7) (L 5111, off 22) (L 5113, off 30) (L 5115, off 10) (L 5116, off 27) 
 "action"(L 1003, off 0) (L 1789, off 57) (L 3920, off 20) (L 3940, off 22) (L 4087, off 43) (L 4166, off 24) 
 "added"(L 2818, off 0) (L 2976, off 59) (L 3798, off 0) (L 3819, off 0) (L 3829, off 43) (L 4438, off 10) 
 "also"(L 614, off 58) (L 2621, off 30) (L 2894, off 54) (L 4097, off 7) (L 4984, off 60) (L 5129, off 3) 
 "animal"(L 197, off 0) (L 1703, off 57) (L 2211, off 32) (L 2360, off 50) (L 2782, off 9) (L 2872, off 29) 
 "animals"(L 39, off 35) (L 176, off 36) (L 477, off 28) (L 1732, off 9) (L 1770, off 51) (L 3986, off 60) 
 "appear"(L 1227, off 6) (L 2684, off 53) (L 3466, off 15) (L 4726, off 0) (L 4877, off 52) (L 4997, off 54) 
 "attacked"(L 2299, off 47) (L 2416, off 0) (L 2570, off 51) (L 2883, off 18) (L 3971, off 62) (L 4236, off 24) 
 "bark"(L 2797, off 60) (L 2806, off 0) (L 2879, off 48) (L 2897, off 6) (L 2900, off 38) (L 3238, off 38) 
 "barrier"(L 3054, off 63) (L 4378, off 19) (L 4714, off 2) (L 4714, off 36) (L 4722, off 44) (L 4724, off 0) 
 "beating"(L 1524, off 22) (L 1589, off 57) (L 1697, off 44) (L 1712, off 9) (L 3396, off 17) (L 3939, off 17) 
 "beaver"(L 2743, off 63) (L 2776, off 39) (L 2871, off 58) (L 3004, off 32) (L 3321, off 0) (L 4711, off 28) 
 "beavers"(L 2745, off 8) (L 2747, off 26) (L 2758, off 8) (L 2776, off 64) (L 2908, off 51) (L 3237, off 8) 
 "beyond"(L 1456, off 20) (L 2533, off 53) (L 2772, off 39) (L 3048, off 40) (L 4559, off 0) (L 4562, off 52) 
 "biscuit"(L 4416, off 24) (L 4430, off 23) (L 4431, off 45) (L 4436, off 47) (L 4457, off 33) (L 4466, off 8) 
 "blasted"(L 664, off 31) (L 2720, off 60) (L 3209, off 30) (L 3486, off 41) (L 3557, off 54) (L 4827, off 4) 
 "blew"(L 2244, off 34) (L 2639, off 63) (L 2644, off 11) (L 3410, off 38) (L 3430, off 13) (L 4200, off 24) 
 "blows"(L 3103, off 36) (L 3610, off 44) (L 3615, off 63) (L 3623, off 59) (L 3702, off 65) (L 3730, off 18) 
 "bodies"(L 649, off 37) (L 705, off 12) (L 1026, off 55) (L 1245, off 0) (L 3970, off 11) (L 4316, off 57) 
 "built"(L 798, off 18) (L 918, off 31) (L 1011, off 31) (L 1013, off 21) (L 3242, off 61) (L 4526, off 0) 
 "business"(L 1204, off 4) (L 3810, off 38) (L 3819, off 29) (L 3819, off 43) (L 5190, off 36) (L 5192, off 0) 
 "calling"(L 2395, off 18) (L 3074, off 0) (L 3200, off 24) (L 3213, off 41) (L 3749, off 61) (L 4544, off 19) 
 "cattle"(L 275, off 0) (L 2085, off 38) (L 3223, off 0) (L 3524, off 49) (L 3811, off 13) (L 4568, off 23) 
 "chair"(L 148, off 37) (L 261, off 20) (L 790, off 24) (L 2666, off 20) (L 3502, off 20) (L 4782, off 56) 
 "change"(L 1488, off 28) (L 2087, off 16) (L 3432, off 46) (L 3433, off 0) (L 3617, off 0) (L 4986, off 20) 
 "charges"(L 941, off 62) (L 1384, off 61) (L 1447, off 20) (L 1756, off 11) (L 2686, off 56) (L 5012, off 3) 
 "claim"(L 388, off 2) (L 744, off 6) (L 843, off 32) (L 845, off 60) (L 847, off 62) (L 4973, off 40) 
 "clearing"(L 1968, off 57) (L 2176, off 30) (L 2514, off 62) (L 2744, off 34) (L 3537, off 51) (L 3679, off 50) 
 "cliffs"(L 446, off 56) (L 603, off 64) (L 1504, off 0) (L 1518, off 51) (L 1588, off 53) (L 1633, off 26) 
 "climbed"(L 1928, off 58) (L 2857, off 37) (L 3224, off 35) (L 3453, off 47) (L 4124, off 0) (L 4575, off 28) 
 "coat"(L 1531, off 0) (L 1729, off 17) (L 2349, off 0) (L 3076, off 6) (L 3341, off 0) (L 3509, off 19) 
 "coats"(L 177, off 21) (L 986, off 13) (L 999, off 7) (L 1138, off 15) (L 2078, off 64) (L 2195, off 49) 
 "color"(L 159, off 14) (L 967, off 35) (L 1518, off 66) (L 1841, off 21) (L 2036, off 53) (L 3295, off 3) 
 "comply"(L 4939, off 26) (L 4980, off 26) (L 5014, off 15) (L 5021, off 5) (L 5050, off 11) (L 5082, off 6) 
 "cottonwood"(L 729, off 4) (L 1189, off 26) (L 1208, off 27) (L 1659, off 7) (L 1910, off 0) (L 2010, off 26) 
 "cutting"(L 688, off 26) (L 1340, off 43) (L 1343, off 27) (L 2094, off 59) (L 2195, off 0) (L 2462, off 59) 
 "dangerous"(L 466, off 7) (L 475, off 60) (L 1363, off 59) (L 2874, off 31) (L 4232, off 52) (L 4489, off 12) 
 "dashed"(L 195, off 57) (L 1792, off 43) (L 2047, off 13) (L 3029, off 55) (L 3914, off 29) (L 4577, off 52) 
 "defiantly"(L 700, off 21) (L 830, off 31) (L 1095, off 40) (L 3028, off 22) (L 3123, off 55) (L 3133, off 30) 
 "den"(L 614, off 67) (L 1473, off 20) (L 2097, off 45) (L 2501, off 35) (L 2505, off 50) (L 3416, off 36) 
 "deserted"(L 470, off 60) (L 1551, off 42) (L 2039, off 18) (L 2100, off 0) (L 3361, off 12) (L 4363, off 15) 
 "distribution"(L 4937, off 0) (L 5020, off 58) (L 5083, off 5) (L 5149, off 14) (L 5152, off 23) (L 5159, off 49) 
 "dived"(L 1597, off 7) (L 1607, off 22) (L 1615, off 40) (L 1705, off 0) (L 2305, off 30) (L 2747, off 34) 
 "does"(L 1958, off 36) (L 1963, off 40) (L 1970, off 23) (L 2144, off 43) (L 5009, off 24) (L 5071, off 5) 
 "doing"(L 847, off 42) (L 1203, off 4) (L 1269, off 50) (L 1747, off 17) (L 4480, off 21) (L 4682, off 0) 
 "drew"(L 1567, off 58) (L 1880, off 63) (L 1891, off 30) (L 2987, off 29) (L 3695, off 63) (L 4706, off 63) 
 "eBook"(L 3, off 5) (L 6, off 10) (L 4921, off 42) (L 4922, off 38) (L 5003, off 5) (L 5006, off 10) 
 "earth"(L 717, off 45) (L 2164, off 43) (L 2727, off 10) (L 2894, off 0) (L 3052, off 47) (L 3278, off 29) 
 "eaten"(L 1514, off 0) (L 2124, off 19) (L 2455, off 30) (L 4390, off 26) (L 4526, off 53) (L 4539, off 60) 
 "effort"(L 1260, off 0) (L 3352, off 5) (L 4344, off 17) (L 4532, off 10) (L 5095, off 0) (L 5216, off 13) 
 "either"(L 2188, off 3) (L 3794, off 0) (L 4330, off 21) (L 4574, off 65) (L 4846, off 58) (L 5014, off 22) 
 "energy"(L 195, off 5) (L 196, off 8) (L 578, off 0) (L 1894, off 16) (L 3011, off 38) (L 3359, off 59) 
 "everything"(L 172, off 9) (L 1444, off 51) (L 1563, off 20) (L 1757, off 9) (L 4199, off 33) (L 4845, off 6) 
 "extended"(L 241, off 0) (L 260, off 28) (L 1778, off 53) (L 2382, off 25) (L 2881, off 9) (L 2885, off 63) 
 "faded"(L 152, off 15) (L 176, off 4) (L 484, off 31) (L 802, off 29) (L 1085, off 30) (L 4291, off 4) 
 "father"(L 1532, off 61) (L 1647, off 23) (L 2367, off 54) (L 3021, off 16) (L 3567, off 16) (L 3571, off 17) 
 "finish"(L 1193, off 52) (L 2298, off 43) (L 3083, off 33) (L 3172, off 42) (L 3631, off 50) (L 3733, off 0) 
 "flesh"(L 463, off 22) (L 1719, off 32) (L 1823, off 44) (L 2895, off 28) (L 2898, off 11) (L 3407, off 43) 
 "flight"(L 1262, off 12) (L 1268, off 24) (L 1354, off 7) (L 1409, off 4) (L 3950, off 36) (L 4369, off 58) 
 "floundered"(L 1074, off 21) (L 2237, off 33) (L 2283, off 0) (L 2499, off 31) (L 3335, off 59) (L 4343, off 0) 
 "foothills"(L 910, off 21) (L 1143, off 36) (L 1482, off 42) (L 1501, off 4) (L 3524, off 0) (L 4684, off 8) 
 "fought"(L 1325, off 63) (L 2121, off 11) (L 3092, off 21) (L 3384, off 33) (L 3389, off 38) (L 3418, off 27) 
 "fright"(L 513, off 5) (L 1068, off 53) (L 1246, off 44) (L 1643, off 23) (L 2323, off 39) (L 3141, off 23) 
 "froze"(L 2126, off 36) (L 2249, off 28) (L 2598, off 52) (L 2635, off 44) (L 3461, off 51) (L 4156, off 59) 
 "galloping"(L 383, off 51) (L 1264, off 52) (L 1320, off 27) (L 2081, off 34) (L 4226, off 44) (L 4401, off 33) 
 "grimly"(L 2940, off 9) (L 3829, off 27) (L 3897, off 48) (L 3977, off 8) (L 4035, off 0) (L 4657, off 37) 
 "gruffly"(L 806, off 28) (L 834, off 38) (L 2969, off 32) (L 3876, off 54) (L 4491, off 50) (L 4731, off 15) 
 "gutenberg"(L 6, off 33) (L 4903, off 19) (L 4941, off 7) (L 5006, off 33) (L 5041, off 58) (L 5254, off 16) 
 "haze"(L 639, off 34) (L 972, off 41) (L 2026, off 7) (L 2050, off 66) (L 3259, off 24) (L 3450, off 62) 
 "hiding"(L 1302, off 52) (L 1375, off 32) (L 4263, off 42) (L 4328, off 26) (L 4332, off 52) (L 4765, off 0) 
 "hogan"(L 727, off 50) (L 731, off 19) (L 922, off 0) (L 1149, off 20) (L 1155, off 15) (L 1158, off 37) 
 "holes"(L 288, off 26) (L 647, off 53) (L 706, off 45) (L 848, off 61) (L 931, off 15) (L 2672, off 63) 
 "hollow"(L 1724, off 45) (L 1731, off 58) (L 2736, off 16) (L 2740, off 43) (L 3691, off 63) (L 3939, off 0) 
 "humped"(L 590, off 45) (L 1544, off 57) (L 1747, off 0) (L 1948, off 32) (L 1977, off 35) (L 3644, off 29) 
 "hunger"(L 1055, off 46) (L 1057, off 13) (L 2240, off 0) (L 2316, off 0) (L 2439, off 14) (L 3434, off 29) 
 "hunter"(L 43, off 17) (L 1280, off 47) (L 1424, off 0) (L 1696, off 40) (L 2490, off 5) (L 2507, off 7) 
 "inside"(L 283, off 16) (L 290, off 51) (L 369, off 9) (L 1156, off 16) (L 1436, off 59) (L 4582, off 59) 
 "keen"(L 188, off 11) (L 935, off 30) (L 2139, off 16) (L 2556, off 48) (L 2612, off 29) (L 4114, off 25) 
 "king"(L 1615, off 4) (L 1831, off 4) (L 1888, off 35) (L 3458, off 24) (L 3692, off 59) (L 3730, off 4) 
 "lances"(L 2430, off 0) (L 2581, off 9) (L 2588, off 4) (L 3359, off 22) (L 4275, off 52) (L 4341, off 41) 
 "land"(L 953, off 22) (L 1882, off 59) (L 1896, off 19) (L 3183, off 10) (L 3243, off 16) (L 3629, off 58) 
 "leadership"(L 3647, off 28) (L 3673, off 30) (L 3759, off 58) (L 4092, off 10) (L 4234, off 14) (L 4533, off 37) 
 "leaning"(L 2795, off 49) (L 2814, off 41) (L 2819, off 53) (L 2832, off 24) (L 2855, off 11) (L 3479, off 9) 
 "leave"(L 501, off 64) (L 1196, off 63) (L 3352, off 39) (L 3513, off 23) (L 3852, off 50) (L 4402, off 50) 
 "leg"(L 2346, off 7) (L 3230, off 67) (L 3394, off 64) (L 3991, off 7) (L 4013, off 28) (L 4648, off 0) 
 "license"(L 6, off 47) (L 4916, off 51) (L 4926, off 25) (L 4941, off 21) (L 4949, off 33) (L 5006, off 47) 
 "lie"(L 1420, off 48) (L 1886, off 6) (L 3419, off 23) (L 4283, off 33) (L 4352, off 45) (L 4700, off 10) 
 "lighted"(L 232, off 52) (L 374, off 48) (L 802, off 40) (L 2922, off 50) (L 4114, off 35) (L 4468, off 60) 
 "lope"(L 433, off 39) (L 704, off 56) (L 1301, off 30) (L 1481, off 59) (L 1492, off 10) (L 4311, off 21) 
 "lump"(L 244, off 6) (L 255, off 46) (L 260, off 10) (L 384, off 33) (L 2042, off 26) (L 4784, off 19) 
 "lumps"(L 248, off 63) (L 956, off 24) (L 2073, off 59) (L 4789, off 30) (L 4792, off 64) (L 4797, off 53) 
 "lunge"(L 594, off 18) (L 2597, off 22) (L 3137, off 3) (L 3618, off 21) (L 3707, off 0) (L 4314, off 58) 
 "lush"(L 165, off 9) (L 1490, off 35) (L 1807, off 3) (L 3473, off 30) (L 3652, off 55) (L 3763, off 33) 
 "matted"(L 2631, off 16) (L 2727, off 16) (L 2735, off 40) (L 2737, off 10) (L 3905, off 20) (L 3988, off 60) 
 "meal"(L 534, off 0) (L 2125, off 44) (L 2520, off 7) (L 3463, off 52) (L 4416, off 12) (L 4538, off 49) 
 "mood"(L 1661, off 7) (L 1691, off 46) (L 2692, off 36) (L 2710, off 8) (L 3792, off 34) (L 4277, off 58) 
 "mountains"(L 911, off 0) (L 970, off 8) (L 2009, off 26) (L 2237, off 4) (L 3521, off 52) (L 4867, off 60) 
 "mounted"(L 213, off 63) (L 909, off 61) (L 2056, off 44) (L 4153, off 12) (L 4371, off 29) (L 4823, off 33) 
 "mud"(L 919, off 33) (L 1124, off 14) (L 2670, off 57) (L 2778, off 40) (L 3244, off 29) (L 3438, off 51) 
 "none"(L 1032, off 40) (L 1656, off 16) (L 3223, off 18) (L 3798, off 53) (L 3845, off 21) (L 4691, off 61) 
 "order"(L 497, off 19) (L 1242, off 35) (L 1827, off 8) (L 2258, off 44) (L 3476, off 0) (L 4667, off 56) 
 "overlooking"(L 157, off 16) (L 3530, off 46) (L 3680, off 28) (L 4124, off 30) (L 4512, off 41) (L 4573, off 30) 
 "padded"(L 1840, off 25) (L 2008, off 30) (L 2457, off 43) (L 2511, off 53) (L 2528, off 29) (L 3244, off 64) 
 "pairs"(L 206, off 4) (L 415, off 8) (L 1953, off 47) (L 2645, off 35) (L 2862, off 37) (L 3478, off 44) 
 "pay"(L 1207, off 14) (L 2953, off 59) (L 3481, off 35) (L 3488, off 50) (L 4037, off 20) (L 5056, off 6) 
 "pocket"(L 233, off 38) (L 248, off 30) (L 744, off 57) (L 4653, off 55) (L 4783, off 29) (L 4838, off 45) 
 "pounded"(L 1232, off 0) (L 3064, off 25) (L 3156, off 14) (L 3575, off 4) (L 3584, off 33) (L 4716, off 0) 
 "protruding"(L 453, off 14) (L 538, off 0) (L 582, off 20) (L 1234, off 35) (L 3076, off 60) (L 3280, off 0) 
 "pursuers"(L 680, off 41) (L 1291, off 8) (L 1300, off 0) (L 1380, off 19) (L 1399, off 46) (L 3373, off 22) 
 "rain"(L 1426, off 8) (L 1441, off 58) (L 1452, off 13) (L 1505, off 12) (L 3770, off 49) (L 3778, off 17) 
 "rapidly"(L 680, off 16) (L 1077, off 29) (L 1808, off 0) (L 3018, off 33) (L 3967, off 40) (L 4182, off 11) 
 "retreat"(L 1308, off 19) (L 2166, off 0) (L 3656, off 62) (L 3921, off 43) (L 4160, off 8) (L 4335, off 26) 
 "rich"(L 444, off 59) (L 1134, off 24) (L 2024, off 15) (L 2123, off 9) (L 2152, off 13) (L 2769, off 20) 
 "rider"(L 298, off 49) (L 626, off 62) (L 634, off 0) (L 4152, off 20) (L 4158, off 24) (L 4214, off 34) 
 "ringing"(L 1633, off 8) (L 3563, off 23) (L 3714, off 22) (L 3721, off 31) (L 3915, off 44) (L 4299, off 61) 
 "rush"(L 849, off 29) (L 1310, off 39) (L 2326, off 19) (L 3711, off 20) (L 3727, off 36) (L 3958, off 13) 
 "satisfied"(L 1681, off 48) (L 1984, off 4) (L 2999, off 25) (L 3122, off 60) (L 4272, off 16) (L 4598, off 22) 
 "saved"(L 1789, off 64) (L 1895, off 34) (L 3108, off 20) (L 3158, off 4) (L 3623, off 24) (L 3952, off 41) 
 "screamed"(L 1242, off 9) (L 1392, off 9) (L 2373, off 41) (L 2558, off 44) (L 2593, off 27) (L 4289, off 63) 
 "seek"(L 404, off 58) (L 2174, off 65) (L 2682, off 16) (L 3436, off 3) (L 3656, off 50) (L 4328, off 19) 
 "shaking"(L 1879, off 0) (L 2153, off 32) (L 3213, off 20) (L 3230, off 45) (L 3312, off 0) (L 4777, off 16) 
 "shrilly"(L 286, off 27) (L 502, off 58) (L 560, off 13) (L 2721, off 0) (L 3012, off 53) (L 3514, off 21) 
 "slim"(L 277, off 53) (L 563, off 42) (L 675, off 35) (L 1462, off 59) (L 1470, off 17) (L 2490, off 0) 
 "slip"(L 565, off 15) (L 906, off 44) (L 930, off 19) (L 2543, off 46) (L 3499, off 58) (L 3922, off 24) 
 "smoke"(L 282, off 56) (L 863, off 22) (L 864, off 21) (L 867, off 36) (L 4470, off 11) (L 4779, off 56) 
 "solid"(L 950, off 66) (L 1411, off 27) (L 2116, off 57) (L 2735, off 27) (L 3325, off 32) (L 3608, off 17) 
 "sought"(L 706, off 20) (L 1645, off 45) (L 2160, off 55) (L 3484, off 26) (L 3871, off 48) (L 4283, off 12) 
 "space"(L 200, off 26) (L 640, off 42) (L 3058, off 13) (L 3616, off 28) (L 3619, off 34) (L 3624, off 41) 
 "stamped"(L 1086, off 45) (L 1542, off 19) (L 1568, off 30) (L 1774, off 64) (L 1778, off 20) (L 1780, off 9) 
 "started"(L 416, off 42) (L 1735, off 52) (L 1742, off 15) (L 2788, off 16) (L 2832, off 41) (L 4174, off 3) 
 "striped"(L 1774, off 23) (L 1776, off 20) (L 1780, off 30) (L 1784, off 23) (L 1794, off 30) (L 1796, off 40) 
 "struggled"(L 1040, off 18) (L 1312, off 13) (L 1725, off 18) (L 2593, off 51) (L 3208, off 52) (L 4343, off 15) 
 "sunlight"(L 1188, off 3) (L 1245, off 37) (L 3628, off 34) (L 4326, off 50) (L 4654, off 51) (L 4704, off 50) 
 "sweeping"(L 1095, off 0) (L 1979, off 15) (L 2033, off 15) (L 2493, off 48) (L 3379, off 0) (L 4269, off 35) 
 "swiftly"(L 1121, off 9) (L 1306, off 43) (L 2250, off 56) (L 2463, off 62) (L 2464, off 55) (L 2649, off 22) 
 "tax"(L 5063, off 64) (L 5181, off 33) (L 5182, off 50) (L 5185, off 32) (L 5210, off 57) (L 5228, off 26) 
 "thundering"(L 514, off 7) (L 561, off 13) (L 989, off 29) (L 1256, off 20) (L 3117, off 43) (L 4186, off 35) 
 "tongues"(L 662, off 51) (L 1070, off 54) (L 2319, off 39) (L 2322, off 8) (L 2382, off 0) (L 3376, off 4) 
 "tops"(L 1521, off 14) (L 1588, off 37) (L 2090, off 18) (L 2130, off 35) (L 2901, off 28) (L 4840, off 16) 
 "trim"(L 234, off 0) (L 239, off 4) (L 559, off 48) (L 2702, off 44) (L 3033, off 45) (L 3543, off 45) 
 "trot"(L 239, off 26) (L 503, off 30) (L 1383, off 16) (L 1612, off 34) (L 3636, off 66) (L 4304, off 2) 
 "uneasy"(L 2906, off 13) (L 3247, off 50) (L 3457, off 37) (L 3906, off 53) (L 4630, off 8) (L 4750, off 33) 
 "victim"(L 1713, off 21) (L 1860, off 7) (L 2370, off 27) (L 2466, off 20) (L 3414, off 16) (L 3719, off 4) 
 "weight"(L 2581, off 55) (L 3153, off 4) (L 3283, off 16) (L 3325, off 43) (L 3569, off 51) (L 4287, off 0) 
 "whirl"(L 140, off 33) (L 1233, off 42) (L 2353, off 58) (L 2700, off 24) (L 3174, off 18) (L 4175, off 35) 
 "won"(L 1991, off 29) (L 2961, off 25) (L 3890, off 14) (L 4034, off 48) (L 4642, off 49) (L 4645, off 59) 
 "yelling"(L 1320, off 15) (L 1335, off 18) (L 1395, off 27) (L 1404, off 53) (L 1419, off 0) (L 1435, off 44) 
 "youngster"(L 1854, off 31) (L 2376, off 0) (L 4321, off 0) (L 4337, off 0) (L 4351, off 20) (L 4835, off 59) 
 "Above"(L 618, off 0) (L 1043, off 22) (L 1241, off 51) (L 2183, off 47) (L 2784, off 52) (L 3075, off 20) (L 3199, off 47) 
 "Montgomery"(L 1, off 52) (L 11, off 26) (L 38, off 11) (L 40, off 23) (L 45, off 4) (L 53, off 26) (L 4897, off 18) 
 "Section"(L 4944, off 0) (L 5066, off 26) (L 5090, off 27) (L 5157, off 0) (L 5176, off 0) (L 5202, off 0) (L 5237, off 0) 
 "Two"(L 686, off 68) (L 1952, off 21) (L 2372, off 51) (L 2434, off 34) (L 2514, off 0) (L 2745, off 0) (L 3887, off 1) 
 "agree"(L 4939, off 17) (L 4948, off 62) (L 4950, off 48) (L 4954, off 44) (L 4960, off 0) (L 5071, off 14) (L 5145, off 24) 
 "alarm"(L 212, off 0) (L 541, off 49) (L 943, off 47) (L 988, off 56) (L 4248, off 60) (L 4517, off 18) (L 4824, off 49) 
 "anyone"(L 3, off 29) (L 4249, off 0) (L 4387, off 64) (L 5003, off 29) (L 5011, off 19) (L 5146, off 58) (L 5242, off 5) 
 "apart"(L 453, off 44) (L 693, off 35) (L 2424, off 58) (L 2480, off 36) (L 3323, off 38) (L 3758, off 48) (L 4583, off 36) 
 "barren"(L 446, off 5) (L 1225, off 20) (L 1456, off 60) (L 1465, off 34) (L 1997, off 17) (L 3258, off 58) (L 3481, off 3) 
 "barrens"(L 2270, off 9) (L 3222, off 34) (L 4085, off 0) (L 4121, off 0) (L 4127, off 61) (L 4134, off 0) (L 4603, off 36) 
 "being"(L 88, off 16) (L 489, off 52) (L 2608, off 34) (L 3001, off 29) (L 3239, off 57) (L 3617, off 45) (L 4378, off 28) 
 "better"(L 823, off 16) (L 890, off 7) (L 1210, off 63) (L 2519, off 24) (L 2968, off 17) (L 3535, off 31) (L 4482, off 5) 
 "blizzard"(L 994, off 0) (L 1000, off 33) (L 1039, off 60) (L 2118, off 26) (L 2194, off 14) (L 2198, off 18) (L 2524, off 56) 
 "breath"(L 2135, off 0) (L 2604, off 16) (L 3130, off 58) (L 3626, off 56) (L 4317, off 43) (L 4338, off 62) (L 4707, off 4) 
 "called"(L 1536, off 28) (L 3035, off 17) (L 4119, off 62) (L 4208, off 0) (L 4211, off 17) (L 4718, off 12) (L 4776, off 45) 
 "calm"(L 523, off 23) (L 555, off 26) (L 966, off 41) (L 1240, off 43) (L 1661, off 25) (L 1964, off 58) (L 4329, off 45) 
 "carefully"(L 755, off 32) (L 794, off 41) (L 3884, off 37) (L 4468, off 44) (L 4549, off 50) (L 4735, off 34) (L 4765, off 52) 
 "certain"(L 2370, off 10) (L 2651, off 61) (L 2707, off 38) (L 4201, off 34) (L 4230, off 0) (L 5137, off 48) (L 5138, off 45) 
 "chuckled"(L 319, off 30) (L 388, off 32) (L 399, off 26) (L 2044, off 29) (L 2676, off 6) (L 4792, off 33) (L 4815, off 47) 
 "clouds"(L 1040, off 45) (L 1428, off 0) (L 2089, off 24) (L 2130, off 5) (L 2192, off 17) (L 4839, off 62) (L 4841, off 51) 
 "coffee"(L 799, off 13) (L 4410, off 42) (L 4416, off 57) (L 4424, off 40) (L 4508, off 5) (L 4510, off 0) (L 4526, off 38) 
 "convinced"(L 1205, off 43) (L 2609, off 4) (L 3818, off 55) (L 4097, off 28) (L 4491, off 10) (L 4531, off 30) (L 4545, off 0) 
 "copies"(L 4921, off 27) (L 4952, off 4) (L 5039, off 11) (L 5052, off 44) (L 5073, off 17) (L 5074, off 56) (L 5147, off 10) 
 "corner"(L 222, off 32) (L 1188, off 48) (L 3456, off 52) (L 3500, off 0) (L 4458, off 0) (L 4802, off 42) (L 4830, off 25) 
 "crept"(L 641, off 43) (L 1733, off 59) (L 1863, off 4) (L 2181, off 59) (L 2437, off 15) (L 3470, off 17) (L 3687, off 39) 
 "danced"(L 1552, off 52) (L 1778, off 9) (L 1945, off 22) (L 2105, off 50) (L 2850, off 31) (L 3039, off 6) (L 3744, off 9) 
 "defiant"(L 426, off 39) (L 716, off 54) (L 2329, off 24) (L 2722, off 33) (L 3052, off 61) (L 3624, off 2) (L 4298, off 21) 
 "depths"(L 157, off 37) (L 403, off 0) (L 605, off 64) (L 938, off 0) (L 1658, off 63) (L 2375, off 45) (L 4705, off 40) 
 "different"(L 882, off 21) (L 1970, off 4) (L 2067, off 33) (L 3564, off 41) (L 3587, off 24) (L 4760, off 39) (L 5086, off 37) 
