 "'----" 1 
 "'AS-IS'" 1 
 "'Come" 1 
 "'Do" 1 
 "'Don't" 1 
 "'He" 1 
 "'Here" 1 
 "'It" 1 
 "'My" 1 
 "'Sides" 1 
 "'Take" 1 
 "'There" 1 
 "'We've" 1 
 "'Why" 1 
 "'bout" 1 
 "'em" 1 
 "'just" 1 
 "'so" 1 
 "--These" 1 
 "--amounting" 1 
 "--caused" 1 (L 3447, off 34) 
 "holding" 2 (L 1234, off 0) (L 2728, off 41) 
 "holes" 2 (L 415, off 51) (L 2633, off 7) 
 "horrible" 2 (L 1844, off 36) (L 2652, off 2) 
 "hotel" 2 (L 433, off 62) (L 3111, off 28) 
 "idea" 2 (L 3098, off 21) (L 3801, off 24) 
 "identified" 2 (L 2672, off 24) (L 3258, off 52) 
 "illustrates" 2 (L 3318, off 23) (L 3393, off 39) 
 "images" 2 (L 28, off 14) (L 3845, off 14) 
 "imparted" 2 (L 1460, off 4) (L 2468, off 43) 
 "impetuous" 2 (L 330, off 56) (L 2839, off 10) 
 "impregnable" 2 (L 1163, off 11) (L 1286, off 17) 
 "impression" 2 (L 3219, off 0) (L 3815, off 4) 
 "increasing" 2 (L 2118, off 15) (L 4150, off 0) 
 "indicating" 2 (L 3338, off 39) (L 3951, off 17) 
 "indiscriminately" 2 (L 1076, off 21) (L 1275, off 27) 
 "inexcusable" 2 (L 541, off 53) (L 1846, off 14) 
 "infested" 2 (L 474, off 20) (L 911, off 55) 
 "inform" 2 (L 473, off 0) (L 3101, off 13) 
 "inheritance" 2 (L 289, off 33) (L 2622, off 46) 
 "inherited" 2 (L 297, off 13) (L 2619, off 22) 
 "injured" 2 (L 1479, off 26) (L 1862, off 21) 
 "injury" 2 (L 3412, off 55) (L 3794, off 30) 
 "inspector" 2 (L 3225, off 10) (L 3227, off 9) 
 "institution" 2 (L 279, off 54) (L 2242, off 37) 
 "instructed" 2 (L 846, off 30) (L 2497, off 5) 
 "intensely" 2 (L 334, off 42) (L 1278, off 30) 
 "intensified" 2 (L 954, off 55) (L 1547, off 49) 
 "intimidating" 2 (L 1025, off 3) (L 2155, off 29) 
 "introduction" 2 (L 1876, off 0) (L 3145, off 21) 
 "issued" 2 (L 3248, off 63) (L 3731, off 22) 
 "jaw" 2 (L 3166, off 0) (L 3172, off 13) 
 "jested" 2 (L 1548, off 48) (L 1564, off 61) 
 "juncture" 2 (L 686, off 27) (L 1421, off 8) 
 "kinder" 2 (L 3478, off 21) (L 3486, off 20) 
 "kindly" 2 (L 904, off 8) (L 1580, off 35) 
 "knife" 2 (L 2650, off 44) (L 2666, off 42) 
 "knocking" 2 (L 702, off 0) (L 1370, off 47) 
 "ladies" 2 (L 1963, off 52) (L 1979, off 21) 
 "lawless" 2 (L 1326, off 51) (L 1390, off 0) 
 "lead" 2 (L 488, off 42) (L 2911, off 28) 
 "leadership" 2 (L 2081, off 4) (L 2116, off 20) 
 "leaves" 2 (L 623, off 10) (L 3382, off 19) 
 "legal" 2 (L 4052, off 60) (L 4094, off 10) 
 "leveled" 2 (L 1309, off 9) (L 3217, off 21) 
 "liability" 2 (L 4052, off 0) (L 4093, off 36) 
 "liar" 2 (L 3286, off 18) (L 3296, off 32) 
 "liberty" 2 (L 1047, off 37) (L 2435, off 37) 
 "lieu" 2 (L 4068, off 0) (L 4070, off 50) 
 "lightning" 2 (L 1569, off 60) (L 3211, off 23) 
 "linen" 2 (L 3600, off 8) (L 3631, off 14) 
 "lips" 2 (L 2665, off 27) (L 3188, off 26) 
 "locations" 2 (L 4134, off 0) (L 4160, off 56) 
 "lodged" 2 (L 2374, off 0) (L 3164, off 4) 
 "longed" 2 (L 326, off 43) (L 2679, off 13) 
 "lookout" 2 (L 1431, off 58) (L 3016, off 7) 
 "loud" 2 (L 422, off 53) (L 3635, off 18) 
 "love" 2 (L 2861, off 7) (L 2894, off 30) 
 "loved" 2 (L 3300, off 32) (L 3314, off 7) 
 "mail" 2 (L 1636, off 30) (L 1991, off 0) 
 "maintaining" 2 (L 2562, off 0) (L 4153, off 45) 
 "majority" 2 (L 2716, off 26) (L 3558, off 43) 
 "male" 2 (L 1976, off 49) (L 3400, off 39) 
 "marauders" 2 (L 2773, off 21) (L 2792, off 49) 
 "march" 2 (L 481, off 60) (L 555, off 43) 
 "marched" 2 (L 380, off 11) (L 750, off 13) 
 "marching" 2 (L 558, off 31) (L 617, off 47) 
 "marshal" 2 (L 2049, off 20) (L 2359, off 0) 
 "mask" 2 (L 2995, off 22) (L 3503, off 31) 
 "massacre" 2 (L 775, off 49) (L 785, off 0) 
 "mentioned" 2 (L 2964, off 33) (L 3210, off 0) 
 "mere" 2 (L 2214, off 24) (L 2314, off 5) 
 "merely" 2 (L 296, off 43) (L 2213, off 56) 
 "midway" 2 (L 505, off 23) (L 2719, off 63) 
 "mingled" 2 (L 658, off 25) (L 1326, off 34) 
 "minister" 2 (L 271, off 40) (L 2883, off 21) 
 "minute" 2 (L 2135, off 0) (L 2570, off 31) 
 "missing" 2 (L 2633, off 60) (L 2836, off 31) 
 "mistaken" 2 (L 514, off 29) (L 3746, off 0) 
 "mode" 2 (L 470, off 54) (L 674, off 36) 
 "month's" 2 (L 706, off 57) (L 2837, off 18) 
 "mortify" 2 (L 3399, off 31) (L 3408, off 29) 
 "motion" 2 (L 920, off 10) (L 3295, off 28) 
 "motive" 2 (L 2609, off 10) (L 2615, off 25) 
 "mouldering" 2 (L 3381, off 20) (L 3382, off 8) 
 "mountainous" 2 (L 1584, off 20) (L 2075, off 50) 
 "move" 2 (L 469, off 43) (L 745, off 48) 
 "muzzle" 2 (L 2756, off 17) (L 3305, off 0) 
 "natural" 2 (L 1136, off 52) (L 2291, off 9) 
 "nearer" 2 (L 1911, off 40) (L 2215, off 45) 
 "nearest" 2 (L 997, off 49) (L 1752, off 52) 
 "neat" 2 (L 1152, off 38) (L 1911, off 0) 
 "necessity" 2 (L 1413, off 32) (L 3370, off 57) 
 "needful" 2 (L 1676, off 63) (L 3802, off 17) 
 "negro" 2 (L 684, off 36) (L 787, off 45) 
 "neither" 2 (L 2818, off 3) (L 2856, off 51) 
 "nephew" 2 (L 2617, off 39) (L 2636, off 59) 
 "net" 2 (L 27, off 37) (L 3844, off 37) 
 "nice" 2 (L 2789, off 38) (L 3480, off 37) 
 "nobody" 2 (L 3488, off 62) (L 3536, off 9) 
 "noon" 2 (L 2504, off 19) (L 3427, off 49) 
 "noose" 2 (L 352, off 23) (L 360, off 18) 
 "note" 2 (L 37, off 15) (L 3424, off 45) 
 "nothin'" 2 
 "notwithstanding" 2 (L 2362, off 13) (L 3553, off 14) 
 "numbered" 2 (L 1500, off 52) (L 3355, off 11) 
 "nursing" 2 (L 357, off 0) (L 705, off 52) 
 "oaths" 2 (L 1076, off 62) (L 1631, off 9) 
 "obeyed" 2 (L 1540, off 54) (L 2339, off 60) 
 "object" 2 (L 530, off 10) (L 2972, off 54) 
 "obnoxious" 2 (L 588, off 15) (L 763, off 0) 
 "observed" 2 (L 3540, off 11) (L 3625, off 13) 
 "occasion" 2 (L 2851, off 7) (L 3398, off 58) 
 "occupants" 2 (L 1543, off 55) (L 1840, off 15) 
 "occupation" 2 (L 935, off 15) (L 2317, off 0) 
 "occur" 2 (L 3256, off 42) (L 4095, off 39) 
 "offenses" 2 (L 1877, off 9) (L 1881, off 4) 
 "officer" 2 (L 2040, off 50) (L 3081, off 37) 
 "old-time" 2 (L 1404, off 8) (L 2673, off 0) 
 "one-third" 2 (L 576, off 49) (L 628, off 59) 
 "onslaught" 2 (L 657, off 31) (L 722, off 34) 
 "operator" 2 (L 2334, off 56) (L 3514, off 15) 
 "outskirts" 2 (L 684, off 0) (L 3767, off 48) 
 "owners" 2 (L 1776, off 14) (L 2796, off 49) 
 "owns" 2 (L 3852, off 22) (L 3906, off 23) 
 "pack" 2 (L 3020, off 27) (L 3028, off 67) 
 "pains" 2 (L 309, off 26) (L 3408, off 20) 
 "paper" 2 (L 2405, off 29) (L 4190, off 58) 
 "parents" 2 (L 297, off 51) (L 3747, off 50) 
 "participating" 2 (L 431, off 10) (L 3749, off 17) 
 "participation" 2 (L 2041, off 52) (L 3119, off 0) 
 "passion" 2 (L 3285, off 46) (L 3413, off 18) 
 "paying" 2 (L 3854, off 38) (L 3953, off 26) 
 "peculiarity" 2 (L 2831, off 57) (L 2835, off 33) 
 "penetrated" 2 (L 2186, off 39) (L 3113, off 29) 
 "perfected" 2 (L 1260, off 57) (L 3821, off 36) 
 "performed" 2 (L 2883, off 30) (L 3939, off 0) 
 "permanent" 2 (L 2910, off 21) (L 4113, off 4) 
 "pgdp" 2 (L 27, off 32) (L 3844, off 32) 
 "physical" 2 (L 4015, off 37) (L 4065, off 23) 
 "picked" 2 (L 1229, off 42) (L 3174, off 42) 
 "pickets" 2 (L 683, off 34) (L 3340, off 0) 
 "pierced" 2 (L 2250, off 6) (L 2256, off 40) 
 "pile" 2 (L 1684, off 46) (L 3532, off 60) 
 "piled" 2 (L 1477, off 54) (L 2336, off 23) 
 "pillaged" 2 (L 427, off 38) (L 649, off 45) 
 "pine" 2 (L 1150, off 48) (L 1600, off 16) 
 "piteously" 2 (L 509, off 30) (L 3358, off 44) 
 "places" 2 (L 1124, off 24) (L 3061, off 51) 
 "planning" 2 (L 1390, off 45) (L 3723, off 17) 
 "planted" 2 (L 772, off 50) (L 1613, off 9) 
 "please" 2 (L 2741, off 24) (L 4177, off 8) 
 "plundered" 2 (L 1636, off 48) (L 2637, off 0) 
 "plunderers" 2 (L 1281, off 0) (L 2694, off 0) 
 "plundering" 2 (L 1597, off 21) (L 2042, off 10) 
 "pocket-book" 2 (L 1551, off 43) (L 2751, off 44) 
 "pointing" 2 (L 1551, off 57) (L 1694, off 30) 
 "political" 2 (L 335, off 0) (L 3588, off 15) 
 "positions" 2 (L 2562, off 29) (L 2980, off 13) 
 "posses" 2 (L 1500, off 0) (L 1936, off 33) 
 "poured" 2 (L 622, off 28) (L 2671, off 25) 
 "power" 2 (L 2053, off 9) (L 3797, off 58) 
 "powerful" 2 (L 1207, off 41) (L 1226, off 51) 
 "powerless" 2 (L 1221, off 49) (L 1269, off 59) 
 "prairie" 2 (L 522, off 19) (L 1501, off 59) 
 "prayer" 2 (L 3302, off 40) (L 3313, off 20) 
 "preparatory" 2 (L 393, off 8) (L 3079, off 25) 
 "preparing" 2 (L 1823, off 4) (L 2430, off 0) 
 "prescribed" 2 (L 2906, off 24) (L 3373, off 9) 
 "pretty" 2 (L 3478, off 62) (L 3480, off 30) 
 "preventing" 2 (L 1078, off 0) (L 3256, off 48) 
 "prey" 2 (L 405, off 48) (L 583, off 16) 
 "price" 2 (L 454, off 38) (L 1189, off 43) 
 "pride" 2 (L 551, off 39) (L 1670, off 53) 
 "principally" 2 (L 2957, off 25) (L 3046, off 37) 
 "prisoners" 2 (L 434, off 56) (L 1606, off 49) 
 "private" 2 (L 379, off 14) (L 3784, off 0) 
 "prize" 2 (L 755, off 65) (L 1506, off 39) 
 "problem" 2 (L 3738, off 27) (L 4072, off 41) 
 "proceeding" 2 (L 2232, off 17) (L 3670, off 19) 
 "proclamation" 2 (L 3803, off 28) (L 3807, off 5) 
 "procure" 2 (L 1222, off 53) (L 2462, off 58) 
 "production" 2 (L 359, off 49) (L 4092, off 0) 
 "profession" 2 (L 1784, off 14) (L 2909, off 13) 
 "profit" 2 (L 406, off 17) (L 4123, off 59) 
 "promise" 2 (L 2224, off 45) (L 2682, off 20) 
 "promoting" 2 (L 3873, off 47) (L 3914, off 58) 
 "propose" 2 (L 2407, off 48) (L 3238, off 0) 
 "protect" 2 (L 3857, off 33) (L 3873, off 3) 
 "proved" 2 (L 922, off 55) (L 1508, off 31) 
 "publisher" 2 (L 3719, off 33) (L 3728, off 0) 
 "punished" 2 (L 2349, off 23) (L 2841, off 11) 
 "purchased" 2 (L 2552, off 0) (L 2966, off 53) 
 "purposes" 2 (L 475, off 52) (L 1542, off 45) 
 "raiding" 2 (L 438, off 6) (L 2209, off 4) 
 "raising" 2 (L 1829, off 62) (L 3653, off 12) 
 "ran" 2 (L 325, off 0) (L 1410, off 10) 
 "rattling" 2 (L 976, off 16) (L 1536, off 17) 
 "re-use" 2 (L 5, off 46) (L 3943, off 60) 
 "reach" 2 (L 2477, off 24) (L 3427, off 31) 
 "readable" 2 (L 4103, off 28) (L 4151, off 30) 
 "reader" 2 (L 987, off 31) (L 1109, off 32) 
 "realize" 2 (L 1707, off 23) (L 1969, off 19) 
 "realizing" 2 (L 564, off 49) (L 1270, off 4) 
 "reap" 2 (L 449, off 3) (L 3720, off 18) 
 "rear" 2 (L 1152, off 59) (L 1227, off 58) 
 "receipts" 2 (L 1349, off 5) (L 1351, off 15) 
 "recently" 2 (L 1726, off 7) (L 1980, off 54) 
 "recovery" 2 (L 2289, off 41) (L 2585, off 26) 
 "recruiting" 2 (L 3323, off 45) (L 3325, off 35) 
 "references" 2 (L 3913, off 4) (L 3932, off 33) 
 "referred" 2 (L 2439, off 51) (L 3752, off 36) 
 "registered" 2 (L 3858, off 46) (L 3895, off 30) 
 "rein" 2 (L 2563, off 11) (L 2760, off 4) 
 "reins" 2 (L 2729, off 7) (L 3673, off 62) 
 "rejected" 2 (L 332, off 61) (L 3735, off 23) 
 "rejoined" 2 (L 2789, off 14) (L 3413, off 33) 
 "relative" 2 (L 3717, off 2) (L 3717, off 49) 
 "released" 2 (L 1641, off 0) (L 3546, off 10) 
 "reliable" 2 (L 2589, off 33) (L 3729, off 57) 
 "relieving" 2 (L 1964, off 28) (L 1983, off 43) 
 "remembrance" 2 (L 1016, off 50) (L 3275, off 9) 
 "remote" 2 (L 1067, off 3) (L 2316, off 24) 
 "remove" 2 (L 3374, off 50) (L 3968, off 34) 
 "renewed" 2 (L 1936, off 18) (L 1948, off 63) 
 "repaired" 2 (L 941, off 0) (L 1524, off 31) 
 "repeated" 2 (L 2446, off 55) (L 3758, off 43) 
 "replace" 2 (L 794, off 0) (L 3848, off 22) 
 "replied" 2 (L 425, off 28) (L 3212, off 12) 
 "reporter" 2 (L 120, off 32) (L 1379, off 58) 
 "request" 2 (L 3412, off 12) (L 3986, off 25) 
 "requested" 2 (L 1431, off 32) (L 3411, off 16) 
 "required" 2 (L 1243, off 47) (L 4005, off 10) 
 "requisition" 2 (L 1045, off 0) (L 2048, off 7) 
 "research" 2 (L 3863, off 17) (L 4037, off 33) 
 "responsibility" 2 (L 2848, off 27) (L 3561, off 23) 
 "rest" 2 (L 417, off 63) (L 2832, off 31) 
 "restrictions" 2 (L 4, off 55) (L 3943, off 2) 
 "retain" 2 (L 1558, off 15) (L 3256, off 0) 
 "retreated" 2 (L 574, off 51) (L 2582, off 36) 
 "reveal" 2 (L 2058, off 48) (L 3271, off 53) 
 "revengeful" 2 (L 372, off 0) (L 2838, off 38) 
 "rid" 2 (L 810, off 36) (L 1506, off 49) 
 "ridden" 2 (L 2450, off 45) (L 2551, off 13) 
 "rider" 2 (L 2729, off 58) (L 2798, off 4) 
 "riderless" 2 (L 1423, off 4) (L 2259, off 9) 
 "riders" 2 (L 456, off 24) (L 3774, off 33) 
 "rifle" 2 (L 2761, off 13) (L 3163, off 29) 
 "rifles" 2 (L 727, off 50) (L 2392, off 57) 
 "rifling" 2 (L 1081, off 56) (L 2125, off 58) 
 "rising" 2 (L 2749, off 37) (L 3634, off 44) 
 "robberies" 2 (L 1968, off 10) (L 2925, off 44) 
 "robbers'" 2 
 "romantic" 2 (L 105, off 4) (L 2876, off 47) 
 "rounds" 2 (L 429, off 0) (L 1055, off 0) 
 "royalties" 2 (L 3855, off 0) (L 4002, off 19) 
 "rules" 2 (L 3855, off 19) (L 3861, off 26) 
 "runs" 2 (L 2720, off 16) (L 2943, off 17) 
 "sacrifice" 2 (L 447, off 40) (L 2125, off 0) 
 "saloon" 2 (L 1783, off 42) (L 2643, off 65) 
 "savage" 2 (L 1934, off 40) (L 2313, off 35) 
 "scattered" 2 (L 1036, off 26) (L 4133, off 29) 
 "school" 2 (L 2878, off 45) (L 3749, off 9) 
 "searching" 2 (L 842, off 55) (L 1656, off 16) 
 "seated" 2 (L 1205, off 15) (L 3234, off 53) 
 "securely" 2 (L 350, off 45) (L 2145, off 53) 
 "seems" 2 (L 1720, off 29) (L 3193, off 31) 
 "sensational" 2 (L 106, off 0) (L 109, off 48) 
 "sentence" 2 (L 3934, off 21) (L 3974, off 27) 
 "separate" 2 (L 2537, off 26) (L 2547, off 25) 
 "servant" 2 (L 1830, off 61) (L 1857, off 42) 
 "serve" 2 (L 3271, off 44) (L 3320, off 14) 
 "settled" 2 (L 3312, off 17) (L 3349, off 62) 
 "severing" 2 (L 892, off 31) (L 2885, off 0) 
 "shadow" 2 (L 380, off 29) (L 2649, off 0) 
 "shelter" 2 (L 857, off 11) (L 3375, off 40) 
 "sheriff's" 2 (L 3082, off 21) (L 3083, off 38) 
 "shortly" 2 (L 2814, off 42) (L 3258, off 32) 
 "shot-gun" 2 (L 3502, off 51) (L 3513, off 22) 
 "shouting" 2 (L 1076, off 39) (L 3635, off 0) 
 "showed" 2 (L 1029, off 12) (L 2447, off 25) 
 "sick" 2 (L 3362, off 41) (L 3373, off 28) 
 "silently" 2 (L 410, off 49) (L 975, off 22) 
 "similar" 2 (L 1212, off 48) (L 1282, off 9) 
 "sit" 2 (L 2430, off 13) (L 3237, off 44) 
 "situation" 2 (L 408, off 40) (L 3325, off 18) 
 "skull" 2 (L 749, off 55) (L 2593, off 36) 
 "slight" 2 (L 394, off 2) (L 2834, off 50) 
 "slip" 2 (L 2405, off 21) (L 2407, off 21) 
 "slow" 2 (L 2738, off 11) (L 2818, off 21) 
 "smaller" 2 (L 1553, off 16) (L 1637, off 61) 
 "smile" 2 (L 2733, off 59) (L 2783, off 8) 
 "smoke" 2 (L 1143, off 23) (L 1144, off 53) 
 "social" 2 (L 3401, off 29) (L 3748, off 33) 
 "soldier" 2 (L 762, off 15) (L 782, off 33) 
 "solicit" 2 (L 4160, off 35) (L 4165, off 27) 
 "sons" 2 (L 271, off 9) (L 3611, off 40) 
 "sorrel" 2 (L 2425, off 53) (L 2724, off 55) 
 "sort" 2 (L 551, off 22) (L 3195, off 40) 
 "southwestwardly" 2 (L 3767, off 9) (L 3771, off 42) 
 "speak" 2 (L 2545, off 40) (L 3203, off 56) 
 "speaking" 2 (L 2565, off 59) (L 3812, off 28) 
 "specie" 2 (L 1416, off 10) (L 1490, off 64) 
 "species" 2 (L 1482, off 44) (L 1522, off 4) 
 "specified" 2 (L 3988, off 37) (L 4007, off 55) 
 "speed" 2 (L 2266, off 0) (L 2574, off 16) 
 "spend" 2 (L 1820, off 27) (L 3191, off 57) 
 "splendid" 2 (L 2470, off 25) (L 3601, off 0) 
 "sport" 2 (L 648, off 36) (L 1200, off 49) 
 "squads" 2 (L 605, off 58) (L 796, off 5) 
 "stake" 2 (L 492, off 0) (L 2867, off 31) 
 "stalls" 2 (L 1154, off 11) (L 1154, off 47) 
 "statements" 2 (L 3547, off 35) (L 4171, off 4) 
 "steal" 2 (L 1356, off 8) (L 1926, off 4) 
 "stealthily" 2 (L 355, off 9) (L 1829, off 21) 
 "stern" 2 (L 1413, off 26) (L 3306, off 44) 
 "stilettos" 2 (L 1192, off 24) (L 1221, off 28) 
 "stock" 2 (L 2949, off 5) (L 3011, off 2) 
 "stole" 2 (L 410, off 58) (L 3304, off 37) 
 "stopping" 2 (L 914, off 48) (L 2242, off 12) 
 "streaming" 2 (L 500, off 22) (L 779, off 54) 
 "street" 2 (L 1410, off 23) (L 2259, off 26) 
 "strength" 2 (L 290, off 0) (L 1747, off 0) 
 "strongly" 2 (L 2675, off 10) (L 2829, off 17) 
 "struggles" 2 (L 939, off 18) (L 1853, off 41) 
 "stunned" 2 (L 1206, off 3) (L 1232, off 40) 
 "subjected" 2 (L 311, off 11) (L 2913, off 60) 
 "subsequent" 2 (L 540, off 15) (L 3827, off 0) 
 "subsided" 2 (L 1032, off 46) (L 1794, off 60) 
 "subsisting" 2 (L 1775, off 23) (L 2295, off 60) 
 "successful" 2 (L 1605, off 11) (L 2353, off 57) 
 "sufficient" 2 (L 1905, off 57) (L 2220, off 37) 
 "summoned" 2 (L 1033, off 0) (L 3087, off 0) 
 "sums" 2 (L 1638, off 0) (L 1988, off 0) 
 "supply" 2 (L 2017, off 16) (L 3370, off 29) 
 "supposition" 2 (L 1530, off 32) (L 2214, off 5) 
 "surgeon" 2 (L 1249, off 2) (L 3090, off 10) 
 "surrendered" 2 (L 426, off 8) (L 940, off 4) 
 "surroundings" 2 (L 2507, off 48) (L 2680, off 0) 
 "surrounds" 2 (L 1600, off 33) (L 3142, off 0) 
 "survive" 2 (L 3576, off 44) (L 4148, off 45) 
 "suspect" 2 (L 961, off 28) (L 1133, off 48) 
 "suspecting" 2 (L 2641, off 56) (L 3659, off 11) 
 "suspicions" 2 (L 2449, off 34) (L 3063, off 26) 
 "swamp" 2 (L 2286, off 5) (L 4172, off 43) 
 "swarming" 2 (L 568, off 56) (L 1223, off 30) 
 "sweep" 2 (L 1162, off 18) (L 1367, off 4) 
 "swept" 2 (L 638, off 36) (L 1275, off 52) 
 "table" 2 (L 3531, off 48) (L 3533, off 26) 
 "talking" 2 (L 1978, off 25) (L 2761, off 34) 
 "tears" 2 (L 2889, off 24) (L 3206, off 50) 
 "tender" 2 (L 2982, off 54) (L 3311, off 5) 
 "term" 2 (L 1041, off 36) (L 2290, off 65) 
 "terrorized" 2 (L 774, off 16) (L 3586, off 52) 
 "terrors" 2 (L 604, off 54) (L 670, off 46) 
 "thereafter" 2 (L 694, off 18) (L 1621, off 31) 
 "thick" 2 (L 508, off 9) (L 1132, off 23) 
 "thing" 2 (L 2547, off 0) (L 3473, off 23) 
 "threatened" 2 (L 360, off 35) (L 919, off 32) 
 "throes" 2 (L 715, off 61) (L 1057, off 40) 
 "tickets" 2 (L 2793, off 45) (L 3633, off 47) 
 "ties" 2 (L 2336, off 57) (L 3516, off 50) 
 "till" 2 (L 3528, off 45) (L 3697, off 28) 
 "top" 2 (L 1142, off 46) (L 3148, off 24) 
 "tore" 2 (L 689, off 35) (L 3083, off 52) 
 "touching" 2 (L 3179, off 20) (L 3203, off 16) 
 "towns" 2 (L 1647, off 51) (L 2096, off 34) 
 "tracks" 2 (L 1325, off 9) (L 2300, off 24) 
 "tragic" 2 (L 1088, off 11) (L 2639, off 37) 
 "trait" 2 (L 3318, off 37) (L 3393, off 64) 
 "traits" 2 (L 290, off 37) (L 302, off 35) 
 "tramp" 2 (L 1680, off 37) (L 1704, off 0) 
 "travel" 2 (L 1250, off 31) (L 3244, off 18) 
 "trial" 2 (L 2055, off 29) (L 3456, off 63) 
 "trivial" 2 (L 2853, off 7) (L 3271, off 35) 
 "trouble" 2 (L 2155, off 15) (L 2985, off 25) 
 "turpentine" 2 (L 1823, off 53) (L 1827, off 61) 
 "twenty-one" 2 (L 591, off 53) (L 1154, off 0) 
 "twice" 2 (L 1065, off 57) (L 1570, off 40) 
 "unburied" 2 (L 582, off 33) (L 668, off 34) 
 "unconscious" 2 (L 621, off 35) (L 779, off 26) 
 "unusual" 2 (L 285, off 40) (L 2368, off 3) 
 "vain" 2 (L 563, off 43) (L 1937, off 55) 
 "valued" 2 (L 2028, off 41) (L 2763, off 48) 
 "vault" 2 (L 1409, off 0) (L 1414, off 46) 
 "victory" 2 (L 568, off 0) (L 792, off 37) 
 "view" 2 (L 1467, off 7) (L 3707, off 0) 
 "viewed" 2 (L 2570, off 0) (L 3939, off 11) 
 "violence" 2 (L 359, off 15) (L 2841, off 48) 
 "visits" 2 (L 951, off 11) (L 3608, off 37) 
 "volunteered" 2 (L 1116, off 12) (L 1279, off 47) 
 "wait" 2 (L 753, off 16) (L 3509, off 44) 
 "waiting" 2 (L 1287, off 8) (L 2444, off 51) 
 "walks" 2 (L 942, off 33) (L 4106, off 19) 
 "wants" 2 (L 1580, off 61) (L 2487, off 18) 
 "warrants" 2 (L 429, off 55) (L 432, off 20) 
 "waste" 2 (L 497, off 27) (L 3382, off 33) 
 "watches" 2 (L 1984, off 16) (L 3058, off 18) 
 "wate" 2 (L 2485, off 12) (L 2486, off 58) 
 "wealth" 2 (L 947, off 11) (L 3052, off 44) 
 "wears" 2 (L 2814, off 34) (L 2836, off 51) 
 "web" 2 (L 3983, off 52) (L 4136, off 58) 
 "weigh" 2 (L 2733, off 0) (L 2830, off 17) 
 "well-armed" 2 (L 1648, off 44) (L 3744, off 53) 
 "whatever" 2 (L 764, off 0) (L 3814, off 62) 
 "whatsoever" 2 (L 5, off 0) (L 3943, off 15) 
 "wheeled" 2 (L 2578, off 62) (L 3308, off 59) 
 "whence" 2 (L 293, off 20) (L 3156, off 47) 
 "whistling" 2 (L 1357, off 59) (L 1411, off 26) 
 "whither" 2 (L 2193, off 34) (L 3708, off 11) 
 "whole" 2 (L 2745, off 37) (L 3324, off 30) 
 "widest" 2 (L 4103, off 44) (L 4151, off 62) 
 "wild" 2 (L 588, off 25) (L 2968, off 36) 
 "win" 2 (L 729, off 11) (L 1506, off 31) 
 "windows" 2 (L 2744, off 39) (L 3508, off 9) 
 "wish" 2 (L 3561, off 4) (L 4027, off 14) 
 "withdrawn" 2 (L 3554, off 36) (L 3783, off 49) 
 "witness" 2 (L 1347, off 38) (L 1863, off 14) 
 "wondered" 2 (L 1112, off 31) (L 1972, off 60) 
 "working" 2 (L 2399, off 58) (L 3651, off 5) 
 "wouldn't" 2 (L 3467, off 9) (L 3489, off 5) 
 "wreak" 2 (L 465, off 40) (L 3576, off 55) 
 "write" 2 (L 2838, off 25) (L 3424, off 37) 
 "yelling" 2 (L 413, off 29) (L 1022, off 39) 
 "you'll" 2 (L 7, off 65) (L 3946, off 17) 
 "youthful" 2 (L 624, off 40) (L 1002, off 51) 
 "----" 3 
 "ANY" 3 (L 4056, off 21) (L 4076, off 20) (L 4077, off 56) 
 "Again" 3 (L 771, off 0) (L 1324, off 40) (L 3566, off 26) 
 "All" 3 (L 3635, off 31) (L 3694, off 43) (L 3724, off 59) 
 "Allen" 3 (L 893, off 64) (L 1347, off 52) (L 1797, off 53) 
 "Anderson's" 3 (L 724, off 11) (L 1088, off 0) (L 2677, off 19) 
 "Another" 3 (L 211, off 0) (L 653, off 0) (L 3060, off 28) 
 "Antonio" 3 (L 231, off 8) (L 1955, off 20) (L 1985, off 58) 
 "April" 3 (L 1300, off 8) (L 1912, off 53) (L 2071, off 27) 
 "Arch" 3 (L 702, off 66) (L 885, off 41) (L 891, off 0) 
 "Arthur" 3 (L 1523, off 60) (L 1763, off 26) (L 2061, off 0) 
 "Austin" 3 (L 1955, off 32) (L 1958, off 14) (L 1986, off 44) 
 "Bandits" 3 (L 1, off 43) (L 10, off 18) (L 3835, off 49) 
 "Baptist" 3 (L 271, off 56) (L 2883, off 13) (L 3277, off 56) 
 "Bass" 3 (L 3029, off 61) (L 3031, off 0) (L 3126, off 31) 
 "Brandensburg" 3 (L 910, off 18) (L 911, off 38) (L 924, off 54) 
 "Buel" 3 (L 1, off 61) (L 14, off 14) (L 3835, off 67) 
 "Clements" 3 (L 703, off 0) (L 885, off 46) (L 891, off 5) 
 "Colorado" 3 (L 654, off 7) (L 655, off 18) (L 665, off 60) 
 "Concord" 3 (L 1535, off 36) (L 2708, off 4) (L 2718, off 0) 
 "Cundiff" 3 (L 3322, off 37) (L 3326, off 29) (L 3342, off 32) 
 "EBook" 3 (L 1, off 23) (L 16, off 31) (L 3835, off 29) 
 "First" 3 (L 185, off 0) (L 1353, off 45) (L 1985, off 31) 
 "Foundation's" 3 (L 4126, off 21) (L 4131, off 4) (L 4136, off 45) 
 "GUTENBERG" 3 (L 21, off 26) (L 3837, off 24) (L 3870, off 17) 
